source_file	inc_type	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
RefSeq_NC_002638.1	IncFII	NA	RefSeq_NC_002638.1	6556	7203	+	spvD	SPI-2 type III secretion system effector cysteine hydrolase SpvD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	216	216	100.00	99.07	216	AAG59626.1	SPI-2 type III secretion system effector cysteine hydrolase SpvD	NA	NA
RefSeq_NC_002638.1	IncFII	NA	RefSeq_NC_002638.1	18974	19489	+	pefA	major pilin PefA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	172	172	100.00	88.95	172	AAC36959.1	major pilin PefA	NA	NA
RefSeq_NC_002638.1	IncFII	NA	RefSeq_NC_002638.1	32938	33666	-	traT	conjugal transfer complement resistance protein TraT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	243	243	100.00	97.94	243	AAL23506.1	conjugal transfer complement resistance protein TraT	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	3600	4256	+	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.06	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	12610	13575	+	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	92.55	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	19297	20214	-	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	97.71	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	20236	21438	-	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	96.26	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	21947	22915	-	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	323	329	99.70	96.04	328	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	36112	36924	+	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	97.79	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	47125	48528	-	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	98.50	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	50214	51077	-	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	288	288	100.00	99.65	288	AKN09807.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_003131.1	IncFII	NA	RefSeq_NC_003131.1	51476	53662	-	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.26	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	4995	5549	-	rcK	complement resistance protein Rck	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	185	185	100.00	100.00	185	AAC36968.1	complement resistance protein Rck	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	13572	14087	-	pefA	major pilin PefA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	172	172	100.00	100.00	172	AAC36959.1	major pilin PefA	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	26270	26917	-	spvD	SPI-2 type III secretion system effector cysteine hydrolase SpvD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	216	216	100.00	100.00	216	AAG59626.1	SPI-2 type III secretion system effector cysteine hydrolase SpvD	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	28188	29960	-	spvB	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	591	591	100.00	100.00	591	AAL23530.1	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	60126	60593	-	mltE	transglycosylase SLT domain-containing protein MltE	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	156	156	100.00	100.00	156	AAL23542.1	transglycosylase SLT domain-containing protein MltE	NA	NA
RefSeq_NC_003277.2	IncFII	NA	RefSeq_NC_003277.2	83209	83937	+	traT	conjugal transfer complement resistance protein TraT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	243	243	100.00	100.00	243	AAL23506.1	conjugal transfer complement resistance protein TraT	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	4887	5852	+	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	98.45	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	11676	12593	-	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	99.67	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	12615	13817	-	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	99.25	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	14307	15305	-	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	333	329	100.00	93.69	333	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	28496	29308	+	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	98.52	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	38085	39488	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	99.36	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	41077	41733	+	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	99.09	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	49079	50344	-	yadA	trimeric autotransporter adhesin YadA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	422	422	100.00	99.53	422	CRY27194.1	trimeric autotransporter adhesin YadA	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	57777	59963	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.67	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_004564.1	IncFII	NA	RefSeq_NC_004564.1	60333	61196	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	288	288	100.00	100.00	288	AAN37537.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	11302	12114	-	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	97.79	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	25311	26279	+	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	323	329	99.70	96.04	328	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	26788	27990	+	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	96.26	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	28012	28929	+	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	97.71	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	34863	35828	-	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	92.55	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	44189	44845	-	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.06	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	63109	65295	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.12	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	65694	66557	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	288	288	100.00	99.65	288	AKN09807.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_004836.1	IncFII	NA	RefSeq_NC_004836.1	68243	69646	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	98.50	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	5213	7399	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.12	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	7798	8661	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	288	288	100.00	99.65	288	AKN09807.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	10347	11750	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	98.50	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	23910	24722	-	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	97.79	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	37919	38887	+	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	323	329	99.70	96.04	328	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	39396	40598	+	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	96.26	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	40620	41537	+	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	97.71	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	47471	48436	-	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	92.55	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_004839.1	IncFII	NA	RefSeq_NC_004839.1	56797	57453	-	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.06	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	3352	4317	+	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	322	322	100.00	100.00	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	7726	8826	-	yopM	type III secretion system effector YopM	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	367	367	100.00	100.00	367	AJJ21446.1	type III secretion system effector YopM	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	9656	10573	-	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	306	306	100.00	100.00	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	10595	11797	-	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	401	401	100.00	100.00	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	12287	13258	-	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	324	329	100.00	94.53	329	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	26449	27261	+	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	98.52	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	36048	37451	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	468	468	100.00	100.00	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	39046	39702	+	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	219	219	100.00	100.00	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	47056	48321	-	yadA	trimeric autotransporter adhesin YadA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	422	422	100.00	96.21	422	CRY27194.1	trimeric autotransporter adhesin YadA	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	55745	57931	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.67	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_005017.1	IncFII	NA	RefSeq_NC_005017.1	58301	59164	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	288	288	100.00	99.65	288	AAN37537.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	7213	9399	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.26	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	9798	10661	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	288	288	100.00	100.00	288	AKN09807.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	12347	13750	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	98.50	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	23951	24763	-	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	97.79	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	37960	38931	+	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	324	329	100.00	96.05	329	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	39421	40623	+	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	96.26	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	40645	41562	+	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	97.71	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	43294	44394	+	yopM	type III secretion system effector YopM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	367	367	100.00	90.74	367	AJJ21446.1	type III secretion system effector YopM	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	47158	48123	-	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	92.55	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_005813.1	IncFII	NA	RefSeq_NC_005813.1	56477	57133	-	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.06	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	15	2201	-	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	97.39	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	20483	21139	+	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.06	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	29513	30478	+	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	92.55	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	36554	37471	-	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	97.71	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	37493	38695	-	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	96.51	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	39204	40172	-	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	323	329	99.70	95.43	328	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	53369	54181	+	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	271	271	100.00	97.79	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	64369	65772	-	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	98.50	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_006153.2	IncFII	NA	RefSeq_NC_006153.2	67278	68141	-	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	288	288	100.00	100.00	288	AKN09807.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_006671.1	IncFII	NA	RefSeq_NC_006671.1	67281	67709	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.00	92.31	143	AAD11743.1	silver-binding protein SilE	NA	NA
RefSeq_NC_006671.1	IncFII	NA	RefSeq_NC_006671.1	67963	69435	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	491	491	100.00	98.98	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA
