plasmid_id	inc_type	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F
RefSeq_NC_009779.1	IncFII	31208	1.1.1.7.30.2170	1	1	1	7	30	2170
RefSeq_NC_009790.1	IncFII	74224	1.1.1.7.30.1909	1	1	1	7	30	1909
RefSeq_NC_010157.1	IncFII	68190	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_010558.1	IncFII	168113	1.1.1.7.30.1162	1	1	1	7	30	1162
RefSeq_NC_010726.1	IncFII	41723	1.1.1.7.30.89	1	1	1	7	30	89
RefSeq_NC_011281.1	IncFII	91096	1.1.1.7.30.1737	1	1	1	7	30	1737
RefSeq_NC_011350.1	IncFII	94644	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NC_011752.1	IncFII	72482	1.1.1.7.30.416	1	1	1	7	30	416
RefSeq_NC_012124.1	IncFII	55414	1.1.1.7.30.326	1	1	1	7	30	326
RefSeq_NC_013010.1	IncFII	94601	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NC_013122.1	IncFII	117536	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NC_013950.1	IncFII	94219	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NC_013951.1	IncFII	147416	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NC_014016.1	IncFII	113637	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_014017.1	IncFII	68342	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_014107.1	IncFII	199562	1.1.1.7.30.1184	1	1	1	7	30	1184
RefSeq_NC_014233.1	IncFII	55709	1.1.1.7.30.402	1	1	1	7	30	402
RefSeq_NC_014312.1	IncFII	151188	1.1.1.7.30.1367	1	1	1	7	30	1367
RefSeq_NC_014384.1	IncFII	118525	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NC_015056.1	IncFII	77072	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_015154.1	IncFII	95626	1.1.1.7.30.1379	1	1	1	7	30	1379
RefSeq_NC_015475.1	IncFII	69704	1.1.1.7.30.71	1	1	1	7	30	71
RefSeq_NC_015963.1	IncFII	166725	1.1.1.7.30.1878	1	1	1	7	30	1878
RefSeq_NC_016515.1	IncFII	63653	1.1.1.7.30.2049	1	1	1	7	30	2049
RefSeq_NC_016846.1	IncFII	111195	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NC_016855.1	IncFII	93832	1.1.1.7.30.862	1	1	1	7	30	862
RefSeq_NC_016858.1	IncFII	93842	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NC_016864.1	IncFII	93277	1.1.1.7.30.862	1	1	1	7	30	862
RefSeq_NC_016966.1	IncFII	220824	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_017054.1	IncFII	93877	1.1.1.7.30.862	1	1	1	7	30	862
RefSeq_NC_017153.1	IncFII	68342	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_017157.1	IncFII	69665	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_017263.1	IncFII	68552	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_017565.1	IncFII	72460	1.1.1.7.30.66	1	1	1	7	30	66
RefSeq_NC_017720.1	IncFII	93842	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NC_018662.1	IncFII	75573	1.1.1.7.30.415	1	1	1	7	30	415
RefSeq_NC_018666.1	IncFII	74217	1.1.1.7.30.415	1	1	1	7	30	415
RefSeq_NC_019000.1	IncFII	73564	1.1.1.7.30.416	1	1	1	7	30	416
RefSeq_NC_019002.1	IncFII	59374	1.1.1.7.30.765	1	1	1	7	30	765
RefSeq_NC_019093.1	IncFII	59260	1.1.1.7.30.884	1	1	1	7	30	884
RefSeq_NC_019105.1	IncFII	88505	1.1.1.7.30.1770	1	1	1	7	30	1770
RefSeq_NC_019112.1	IncFII	86686	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NC_019120.1	IncFII	59368	1.1.1.7.30.325	1	1	1	7	30	325
RefSeq_NC_019126.1	IncFII	43577	1.1.1.7.30.2089	1	1	1	7	30	2089
RefSeq_NC_019152.1	IncFII	21138	1.1.1.7.30.1854	1	1	1	7	30	1854
RefSeq_NC_019155.1	IncFII	115300	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_019165.1	IncFII	107748	1.1.1.7.30.989	1	1	1	7	30	989
RefSeq_NC_019234.1	IncFII	66845	1.1.1.7.30.70	1	1	1	7	30	70
RefSeq_NC_019342.1	IncFII	130175	1.1.1.7.30.1793	1	1	1	7	30	1793
RefSeq_NC_019343.1	IncFII	67727	1.1.1.7.30.103	1	1	1	7	30	103
RefSeq_NC_019389.1	IncFII	127508	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NC_019390.1	IncFII	207819	1.1.1.7.30.1242	1	1	1	7	30	1242
RefSeq_NC_020087.1	IncFII	133191	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NC_020132.1	IncFII	165295	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_020306.1	IncFII	24012	1.1.1.7.30.2125	1	1	1	7	30	2125
RefSeq_NC_021180.1	IncFII	49441	1.1.1.7.30.2126	1	1	1	7	30	2126
RefSeq_NC_021198.1	IncFII	250444	1.1.1.7.30.1237	1	1	1	7	30	1237
RefSeq_NC_021199.1	IncFII	141545	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NC_021501.1	IncFII	110781	1.1.1.7.30.1067	1	1	1	7	30	1067
RefSeq_NC_021502.1	IncFII	167203	1.1.1.7.30.1544	1	1	1	7	30	1544
RefSeq_NC_021654.1	IncFII	245869	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_021817.1	IncFII	78193	1.1.1.7.30.469	1	1	1	7	30	469
RefSeq_NC_021871.1	IncFII	89986	1.1.1.7.30.471	1	1	1	7	30	471
RefSeq_NC_022609.1	IncFII	146695	1.1.1.7.30.1262	1	1	1	7	30	1262
RefSeq_NC_022651.1	IncFII	110040	1.1.1.7.30.1123	1	1	1	7	30	1123
RefSeq_NC_022743.1	IncFII	75569	1.1.1.7.30.415	1	1	1	7	30	415
RefSeq_NC_023332.1	IncFII	213019	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_023333.1	IncFII	246176	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_023334.1	IncFII	203577	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_023903.1	IncFII	113640	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_023904.1	IncFII	113622	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_023905.1	IncFII	116047	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_023906.1	IncFII	113640	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_024992.1	IncFII	182204	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_025131.1	IncFII	139941	1.1.1.7.30.1059	1	1	1	7	30	1059
RefSeq_NC_025166.1	IncFII	113639	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_025167.1	IncFII	99142	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NC_025184.1	IncFII	110786	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NC_025185.1	IncFII	73636	1.1.1.7.30.466	1	1	1	7	30	466
RefSeq_NC_025187.1	IncFII	114464	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NT_187135.1	IncFII	81965	1.1.1.7.30.420	1	1	1	7	30	420
RefSeq_NZ_ABACVG020000004.1	IncFII	23971	1.1.1.7.30.124	1	1	1	7	30	124
RefSeq_NZ_ABHK02000007.1	IncFII	94707	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_ABHL02000008.1	IncFII	94753	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_ABHM02000004.1	IncFII	95362	1.1.1.7.30.499	1	1	1	7	30	499
RefSeq_NZ_ABLUVU020000002.1	IncFII	112409	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NZ_ACNR01000028.1	IncFII	70132	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NZ_ACNT01000035.1	IncFII	70020	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NZ_AELA02000028.1	IncFII	3998	1.1.1.12.74.2224	1	1	1	12	74	2224
RefSeq_NZ_AJTU01000008.1	IncFII	97711	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NZ_AMRH02000026.1	IncFII	195431	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP013065.1	IncFII	58929	1.1.1.7.30.2164	1	1	1	7	30	2164
RefSeq_NZ_AP018137.1	IncFII	93258	1.1.1.7.30.805	1	1	1	7	30	805
RefSeq_NZ_AP018140.1	IncFII	81783	1.1.1.7.30.1412	1	1	1	7	30	1412
RefSeq_NZ_AP018456.1	IncFII	159781	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP018457.1	IncFII	86535	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP018574.1	IncFII	74653	1.1.1.7.30.1637	1	1	1	7	30	1637
RefSeq_NZ_AP018582.1	IncFII	75343	1.1.1.7.30.503	1	1	1	7	30	503
RefSeq_NZ_AP018584.1	IncFII	105592	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_AP018673.1	IncFII	134879	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_AP018800.1	IncFII	81004	1.1.1.7.30.870	1	1	1	7	30	870
RefSeq_NZ_AP018805.1	IncFII	78434	1.1.1.7.30.870	1	1	1	7	30	870
RefSeq_NZ_AP018811.1	IncFII	75799	1.1.1.7.30.1431	1	1	1	7	30	1431
RefSeq_NZ_AP018830.1	IncFII	209679	1.1.1.7.30.1272	1	1	1	7	30	1272
RefSeq_NZ_AP018939.1	IncFII	123579	1.1.1.7.30.1089	1	1	1	7	30	1089
RefSeq_NZ_AP019191.1	IncFII	110735	1.1.1.7.30.805	1	1	1	7	30	805
RefSeq_NZ_AP019401.1	IncFII	181837	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP019526.1	IncFII	105401	1.1.1.7.30.1163	1	1	1	7	30	1163
RefSeq_NZ_AP019534.1	IncFII	101731	1.1.1.7.30.463	1	1	1	7	30	463
RefSeq_NZ_AP019539.1	IncFII	151109	1.1.1.7.30.500	1	1	1	7	30	500
RefSeq_NZ_AP019631.1	IncFII	125013	1.1.1.7.30.881	1	1	1	7	30	881
RefSeq_NZ_AP019633.1	IncFII	130975	1.1.1.7.30.880	1	1	1	7	30	880
RefSeq_NZ_AP019672.1	IncFII	86933	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_AP019690.1	IncFII	89834	1.1.1.7.30.1273	1	1	1	7	30	1273
RefSeq_NZ_AP019763.1	IncFII	78470	1.1.1.7.30.870	1	1	1	7	30	870
RefSeq_NZ_AP021910.1	IncFII	139376	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP021930.1	IncFII	140912	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP021955.1	IncFII	91316	1.1.1.7.30.1767	1	1	1	7	30	1767
RefSeq_NZ_AP021964.1	IncFII	105095	1.1.1.7.30.984	1	1	1	7	30	984
RefSeq_NZ_AP021987.1	IncFII	80471	1.1.1.7.30.1671	1	1	1	7	30	1671
RefSeq_NZ_AP022008.1	IncFII	104413	1.1.1.7.30.1049	1	1	1	7	30	1049
RefSeq_NZ_AP022070.1	IncFII	117617	1.1.1.7.30.1355	1	1	1	7	30	1355
RefSeq_NZ_AP022079.1	IncFII	224088	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP022096.1	IncFII	158292	1.1.1.7.30.1158	1	1	1	7	30	1158
RefSeq_NZ_AP022114.1	IncFII	120877	1.1.1.7.30.1562	1	1	1	7	30	1562
RefSeq_NZ_AP022115.1	IncFII	107360	1.1.1.7.30.1751	1	1	1	7	30	1751
RefSeq_NZ_AP022116.1	IncFII	82271	1.1.1.7.30.872	1	1	1	7	30	872
RefSeq_NZ_AP022121.1	IncFII	158291	1.1.1.7.30.1158	1	1	1	7	30	1158
RefSeq_NZ_AP022140.1	IncFII	85044	1.1.1.7.30.1440	1	1	1	7	30	1440
RefSeq_NZ_AP022146.1	IncFII	122247	1.1.1.7.30.941	1	1	1	7	30	941
RefSeq_NZ_AP022162.1	IncFII	147186	1.1.1.7.30.1161	1	1	1	7	30	1161
RefSeq_NZ_AP022172.1	IncFII	187669	1.1.1.7.30.1105	1	1	1	7	30	1105
RefSeq_NZ_AP022185.1	IncFII	118077	1.1.1.7.30.1188	1	1	1	7	30	1188
RefSeq_NZ_AP022271.1	IncFII	86933	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_AP022327.1	IncFII	139450	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022357.1	IncFII	67735	1.1.1.7.30.1844	1	1	1	7	30	1844
RefSeq_NZ_AP022361.1	IncFII	148581	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022363.1	IncFII	151326	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022364.1	IncFII	120859	1.1.1.7.30.1175	1	1	1	7	30	1175
RefSeq_NZ_AP022365.1	IncFII	148581	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022366.1	IncFII	136970	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022368.1	IncFII	149470	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_AP022369.1	IncFII	149826	1.1.1.7.30.1161	1	1	1	7	30	1161
RefSeq_NZ_AP022370.1	IncFII	96042	1.1.1.7.30.1097	1	1	1	7	30	1097
RefSeq_NZ_AP022479.1	IncFII	91989	1.1.1.7.30.1024	1	1	1	7	30	1024
RefSeq_NZ_AP022483.1	IncFII	157329	1.1.1.7.30.1158	1	1	1	7	30	1158
RefSeq_NZ_AP022537.1	IncFII	151109	1.1.1.7.30.500	1	1	1	7	30	500
RefSeq_NZ_AP022550.1	IncFII	88121	1.1.1.7.30.1512	1	1	1	7	30	1512
RefSeq_NZ_AP022651.1	IncFII	102029	1.1.1.7.30.1343	1	1	1	7	30	1343
RefSeq_NZ_AP023150.1	IncFII	86902	1.1.1.7.30.1121	1	1	1	7	30	1121
RefSeq_NZ_AP023225.1	IncFII	108281	1.1.1.7.30.1344	1	1	1	7	30	1344
RefSeq_NZ_AP023238.1	IncFII	93649	1.1.1.7.30.1344	1	1	1	7	30	1344
RefSeq_NZ_AP023295.1	IncFII	60222	1.1.1.7.30.1403	1	1	1	7	30	1403
RefSeq_NZ_AP023340.1	IncFII	160398	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP023455.1	IncFII	185769	1.1.1.7.30.1232	1	1	1	7	30	1232
RefSeq_NZ_AP024174.1	IncFII	252273	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024177.1	IncFII	69826	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_AP024282.1	IncFII	139475	1.1.1.7.30.1015	1	1	1	7	30	1015
RefSeq_NZ_AP024519.1	IncFII	100617	1.1.1.7.30.1598	1	1	1	7	30	1598
RefSeq_NZ_AP024569.1	IncFII	220075	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024571.1	IncFII	220075	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024573.1	IncFII	220075	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024577.1	IncFII	220075	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024580.1	IncFII	220075	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP024593.1	IncFII	163252	1.1.1.7.30.1078	1	1	1	7	30	1078
RefSeq_NZ_AP024606.1	IncFII	74832	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NZ_AP024923.1	IncFII	67947	1.1.1.7.30.1429	1	1	1	7	30	1429
RefSeq_NZ_AP025012.1	IncFII	139908	1.1.1.7.30.1394	1	1	1	7	30	1394
RefSeq_NZ_AP025168.1	IncFII	113025	1.1.1.7.30.1439	1	1	1	7	30	1439
RefSeq_NZ_AP025658.1	IncFII	171085	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_AP025663.1	IncFII	170915	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_AP025679.1	IncFII	68966	1.1.1.7.30.1311	1	1	1	7	30	1311
RefSeq_NZ_AP026088.1	IncFII	92794	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_AP026091.1	IncFII	95894	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_AP026384.1	IncFII	119025	1.1.1.7.30.914	1	1	1	7	30	914
RefSeq_NZ_AP026395.1	IncFII	129931	1.1.1.7.30.1486	1	1	1	7	30	1486
RefSeq_NZ_AP026396.1	IncFII	82879	1.1.1.7.30.872	1	1	1	7	30	872
RefSeq_NZ_AP026411.1	IncFII	82914	1.1.1.7.30.872	1	1	1	7	30	872
RefSeq_NZ_AP026412.1	IncFII	77500	1.1.1.7.30.444	1	1	1	7	30	444
RefSeq_NZ_AP026424.1	IncFII	79512	1.1.1.7.30.872	1	1	1	7	30	872
RefSeq_NZ_AP026425.1	IncFII	77499	1.1.1.7.30.444	1	1	1	7	30	444
RefSeq_NZ_AP026426.1	IncFII	57457	1.1.1.7.30.1871	1	1	1	7	30	1871
RefSeq_NZ_AP026789.1	IncFII	165449	1.1.1.7.30.997	1	1	1	7	30	997
RefSeq_NZ_AP026795.1	IncFII	165477	1.1.1.7.30.997	1	1	1	7	30	997
RefSeq_NZ_AP026887.1	IncFII	100532	1.1.1.7.30.1016	1	1	1	7	30	1016
RefSeq_NZ_AP026905.1	IncFII	82743	1.1.1.7.30.985	1	1	1	7	30	985
RefSeq_NZ_AP026951.1	IncFII	52891	1.1.1.7.30.104	1	1	1	7	30	104
RefSeq_NZ_AP027199.1	IncFII	49687	1.1.1.7.30.779	1	1	1	7	30	779
RefSeq_NZ_AP027264.1	IncFII	106575	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_AP027403.1	IncFII	98045	1.1.1.7.30.487	1	1	1	7	30	487
RefSeq_NZ_AP027407.1	IncFII	77354	1.1.1.7.30.762	1	1	1	7	30	762
RefSeq_NZ_AP027415.1	IncFII	104272	1.1.1.7.30.1886	1	1	1	7	30	1886
RefSeq_NZ_AP027421.1	IncFII	138688	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_AP027928.1	IncFII	109686	1.1.1.7.30.428	1	1	1	7	30	428
RefSeq_NZ_AP027958.1	IncFII	81505	1.1.1.7.30.1790	1	1	1	7	30	1790
RefSeq_NZ_AP027961.1	IncFII	88388	1.1.1.7.30.905	1	1	1	7	30	905
RefSeq_NZ_AP027972.1	IncFII	169195	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_AP028096.1	IncFII	75901	1.1.1.7.30.1505	1	1	1	7	30	1505
RefSeq_NZ_AP028421.1	IncFII	98730	1.1.1.7.30.464	1	1	1	7	30	464
RefSeq_NZ_AP028423.1	IncFII	108737	1.1.1.7.30.61	1	1	1	7	30	61
RefSeq_NZ_ASHT01000086.1	IncFII	58877	1.1.1.7.30.66	1	1	1	7	30	66
RefSeq_NZ_AVCD01000003.1	IncFII	98062	1.1.1.7.30.499	1	1	1	7	30	499
RefSeq_NZ_AWFJ01000153.1	IncFII	5389	1.1.1.7.14.21	1	1	1	7	14	21
RefSeq_NZ_AXDG01000140.1	IncFII	68551	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NZ_AYLS01000005.1	IncFII	51790	1.1.1.7.30.64	1	1	1	7	30	64
RefSeq_NZ_AYLS01000007.1	IncFII	73255	1.1.1.7.30.138	1	1	1	7	30	138
RefSeq_NZ_BFCA01000002.1	IncFII	207687	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CM001063.1	IncFII	49558	1.1.1.7.30.326	1	1	1	7	30	326
RefSeq_NZ_CM001154.1	IncFII	87371	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NZ_CM003367.1	IncFII	71543	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NZ_CM003368.1	IncFII	137038	1.1.1.7.30.137	1	1	1	7	30	137
RefSeq_NZ_CM007785.1	IncFII	23446	1.1.1.7.30.2095	1	1	1	7	30	2095
RefSeq_NZ_CM007788.1	IncFII	32634	1.1.1.7.30.475	1	1	1	7	30	475
RefSeq_NZ_CM007791.1	IncFII	32634	1.1.1.7.30.480	1	1	1	7	30	480
RefSeq_NZ_CM008879.1	IncFII	119047	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008885.1	IncFII	87593	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008891.1	IncFII	120078	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008895.1	IncFII	119046	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008904.1	IncFII	106482	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008911.1	IncFII	110766	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM008917.1	IncFII	120406	1.1.1.7.30.968	1	1	1	7	30	968
RefSeq_NZ_CM010664.1	IncFII	201243	1.1.1.7.30.1400	1	1	1	7	30	1400
RefSeq_NZ_CM010665.1	IncFII	158277	1.1.1.7.30.1308	1	1	1	7	30	1308
RefSeq_NZ_CM011641.1	IncFII	103163	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NZ_CM012199.1	IncFII	135859	1.1.1.7.30.1235	1	1	1	7	30	1235
RefSeq_NZ_CM014762.1	IncFII	95757	1.1.1.7.30.1275	1	1	1	7	30	1275
RefSeq_NZ_CM016732.1	IncFII	226800	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CM016896.1	IncFII	71655	1.1.1.7.30.1098	1	1	1	7	30	1098
RefSeq_NZ_CM016898.1	IncFII	35685	1.1.1.7.30.111	1	1	1	7	30	111
RefSeq_NZ_CM016899.1	IncFII	35685	1.1.1.7.30.111	1	1	1	7	30	111
RefSeq_NZ_CM016900.1	IncFII	34774	1.1.1.7.30.111	1	1	1	7	30	111
RefSeq_NZ_CM017020.1	IncFII	101827	1.1.1.7.30.1356	1	1	1	7	30	1356
RefSeq_NZ_CM017025.1	IncFII	161166	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_CM017041.1	IncFII	102059	1.1.1.7.30.959	1	1	1	7	30	959
RefSeq_NZ_CM017057.1	IncFII	85559	1.1.1.7.30.1410	1	1	1	7	30	1410
RefSeq_NZ_CM017060.1	IncFII	94529	1.1.1.7.30.1085	1	1	1	7	30	1085
RefSeq_NZ_CM017061.1	IncFII	103764	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017069.1	IncFII	119649	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017076.1	IncFII	115686	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017081.1	IncFII	101085	1.1.1.7.30.1445	1	1	1	7	30	1445
RefSeq_NZ_CM017086.1	IncFII	116044	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NZ_CM017095.1	IncFII	160576	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017099.1	IncFII	116130	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017107.1	IncFII	151438	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017115.1	IncFII	76359	1.1.1.7.30.1426	1	1	1	7	30	1426
RefSeq_NZ_CM017116.1	IncFII	107809	1.1.1.7.30.1658	1	1	1	7	30	1658
RefSeq_NZ_CM017127.1	IncFII	153061	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017129.1	IncFII	75285	1.1.1.7.30.1307	1	1	1	7	30	1307
RefSeq_NZ_CM017133.1	IncFII	89746	1.1.1.7.30.763	1	1	1	7	30	763
RefSeq_NZ_CM017140.1	IncFII	144957	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017144.1	IncFII	112658	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NZ_CM017151.1	IncFII	102778	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NZ_CM017152.1	IncFII	136116	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017155.1	IncFII	69985	1.1.1.7.30.1307	1	1	1	7	30	1307
RefSeq_NZ_CM017167.1	IncFII	97489	1.1.1.7.30.1061	1	1	1	7	30	1061
RefSeq_NZ_CM017170.1	IncFII	140012	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NZ_CM017199.1	IncFII	115221	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017210.1	IncFII	87430	1.1.1.7.30.1837	1	1	1	7	30	1837
RefSeq_NZ_CM017241.1	IncFII	73822	1.1.1.7.30.1307	1	1	1	7	30	1307
RefSeq_NZ_CM017249.1	IncFII	110924	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CM017263.1	IncFII	80674	1.1.1.7.30.1346	1	1	1	7	30	1346
