plasmid_id	length_bp	inc_type	inc_confidence	is_novel
AP018183.1	231372	repAci_large	100.0	False
AP018196.1	22602	IncFII	41.7	False
AP018198.1	16296	IncFII	100.0	False
AP018199.1	18933	IncHI2	59.3	False
AP018200.1	17328	IncFII	40.1	False
AP018201.1	6622	IncX1	100.0	False
AP018204.1	411362	IncFIB	39.8	True
AP018205.1	553673	IncFIB	59.9	False
AP018206.1	13170	IncC	59.1	False
AP018208.1	157982	repAci_large	100.0	False
AP018209.1	207970	repAci_large	100.0	False
AP018211.1	190194	repAci_large	100.0	False
AP018212.1	57802	repAci_large	100.0	False
AP018213.1	35884	repAci_large	100.0	False
AP018214.1	25761	repAci_large	100.0	False
AP018215.1	21270	repAci_large	100.0	False
AP018224.1	227385	repAci_large	100.0	False
AP018225.1	89634	repAci_large	100.0	False
AP018234.1	214996	repAci_large	100.0	False
AP018235.1	194818	repAci_large	100.0	False
AP018238.1	84811	repAci_large	100.0	False
AP018239.1	93764	repAci_large	100.0	False
AP018240.1	55884	repAci_large	100.0	False
AP018241.1	46852	repAci_large	100.0	False
AP018243.1	39434	repAci_large	100.0	False
AP018244.1	39300	repAci_large	100.0	False
AP018245.1	29106	IncFII	100.0	False
AP018247.1	29597	IncFII	100.0	False
AP018264.1	234762	repAci_large	80.0	False
AP018265.1	76644	repAci_large	100.0	False
AP018266.1	59631	IncHI2	80.8	False
AP018267.1	28083	IncFII	100.0	False
AP018275.1	91394	repAci_large	100.0	False
AP018276.1	55090	repAci_large	100.0	False
AP018277.1	126615	repAci_large	100.0	False
AP018278.1	72581	repAci_large	100.0	False
AP018279.1	5239	repAci1	80.6	False
AP018282.1	161734	repAci_large	100.0	False
AP018283.1	123154	repSA_large	100.0	False
AP018284.1	149096	repAci_large	100.0	False
AP018285.1	22161	repAci_large	100.0	False
AP018286.1	18150	repAci_large	100.0	False
AP018287.1	11549	repAci_large	100.0	False
AP018291.1	394733	repAci_large	100.0	False
AP018292.1	365907	repAci_large	100.0	False
AP018293.1	105312	repAci_large	100.0	False
AP018294.1	73113	repAci_large	100.0	False
AP018295.1	18433	repAci_large	100.0	False
AP018296.1	13693	repAci_large	79.4	False
AP018297.1	4312	repAci_large	100.0	False
AP018300.1	312401	repAci_large	100.0	False
AP018301.1	78672	repAci_large	100.0	False
AP018302.1	39362	repAci_large	100.0	False
AP018303.1	24478	repAci_large	100.0	False
AP018304.1	24589	repAci_large	100.0	False
AP018305.1	22631	repAci_large	100.0	False
AP018306.1	20666	repAci_large	100.0	False
AP018308.1	292325	repAci_large	100.0	False
AP018309.1	241484	repAci_large	100.0	False
AP018310.1	216164	repAci_large	100.0	False
AP018311.1	56669	repAci_large	100.0	False
AP018312.1	45978	repAci_large	100.0	False
AP018313.1	40278	repAci_large	100.0	False
AP018315.1	255152	repAci_large	100.0	False
AP018319.1	484721	repAci_large	100.0	False
AP018320.1	311696	repAci_large	100.0	False
AP018321.1	93475	repAci_large	100.0	False
AP018322.1	34721	repAci_large	100.0	False
AP018323.1	42584	repAci_large	100.0	False
AP018324.1	37388	repAci_large	100.0	False
AP018325.1	29094	repAci_large	100.0	False
AP018330.1	40828	repAci_large	100.0	False
AP018331.1	34879	IncFII	100.0	False
AP018332.1	34997	repAci_large	100.0	False
AP018334.1	29435	repAci_large	80.5	False
AP018497.1	127402	repPae_small	80.5	False
AP018516.1	173853	IncFII	100.0	False
AP018534.1	5962	ColRNAI	40.5	False
AP018566.2	72564	IncN	100.0	False
AP018567.2	39210	IncN	39.7	True
AP018568.2	87556	IncN	100.0	False
AP018569.2	120807	IncN	78.8	False
AP018570.2	287916	IncN	42.8	False
AP018571.2	52715	IncX3	85.8	False
AP018579.2	148825	IncAC2	62.0	False
AP018581.2	75574	IncFII	100.0	False
AP018698.1	154991	repPae_large	100.0	False
AP018700.1	37398	repAci_large	100.0	False
AP018701.1	21680	repEF_res	39.6	True
AP018702.1	12250	repAci_large	100.0	False
AP018703.1	3029	repEF_res	60.6	False
AP018704.1	2023	repAci_large	100.0	False
AP018705.1	38644	IncN	100.0	False
AP018706.1	39117	IncN	100.0	False
AP018707.1	41033	repPae_large	57.1	False
AP018708.1	41117	repPae_large	57.4	False
AP018709.1	50476	repPae_large	83.4	False
AP018710.1	35552	repPae_small	100.0	False
AP019385.1	299555	IncHI2	82.1	False
AP019386.1	324148	IncHI2	100.0	False
AP019515.1	273549	IncAC2	54.5	False
AP019683.1	78747	repPae_small	57.0	False
AP019704.1	92337	IncFII	100.0	False
AP019705.1	71161	IncFII	100.0	False
AP019707.1	91036	IncFII	100.0	False
AP019709.1	86874	IncFII	100.0	False
AP019710.1	48572	IncX1	60.8	False
AP019756.1	61451	IncN	76.7	False
AP019809.1	74424	repPae_large	100.0	False
AP019816.1	72292	repAci_large	100.0	False
AP020331.1	4593	ColRNAI	98.3	False
AP020333.1	249939	IncHI1	59.0	False
AP020334.1	6237	IncFII	100.0	False
AP021850.1	389567	repPae_large	100.0	False
AP021851.1	373915	repPae_large	100.0	False
AP021852.1	8055	repPae_small	81.3	False
AP021860.1	123836	IncFII	100.0	False
AP021941.1	69526	repPae_large	100.0	False
AP021942.1	22511	repPae_small	100.0	False
AP021943.1	12343	repPae_large	100.0	False
AP021970.1	253831	IncFII	100.0	False
AP021971.1	39860	IncN	62.6	False
AP022086.1	281370	IncFII	24.9	True
AP022134.1	272100	IncN	100.0	False
AP022135.1	74230	IncFII	100.0	False
AP022136.1	49849	IncN	77.9	False
AP022137.1	2644	IncX1	80.7	False
AP022138.1	2421	IncX3	100.0	False
AP022158.1	242118	IncFII	100.0	False
AP022229.1	98736	IncFII	59.8	False
AP022230.1	42731	repAci_large	40.3	False
AP022231.1	11175	IncFII	60.7	False
AP022232.1	9495	IncFII	59.9	False
AP022233.1	5943	IncFII	79.9	False
AP022234.1	5010	IncX1	60.6	False
AP022235.1	4820	IncFII	100.0	False
AP022236.1	4165	IncX1	100.0	False
AP022237.1	2442	IncX1	100.0	False
AP022265.1	37223	repPae_large	59.7	False
AP022266.1	5942	IncFII	40.2	False
AP022267.1	2838	repPae_large	100.0	False
AP022275.1	132349	IncFII	60.5	False
AP022276.1	128763	IncFII	100.0	False
AP022277.1	46974	repPae_large	80.9	False
AP022278.1	13354	repPae_small	67.1	False
AP022279.1	4898	repPae_large	58.3	False
AP022280.1	4450	IncX1	79.3	False
AP022308.1	1517105	repPae_large	69.1	False
AP022309.1	494197	repPae_large	74.1	False
AP022310.1	481972	repPae_large	78.6	False
AP022311.1	246373	repPae_large	81.5	False
AP022312.1	179010	repPae_large	83.1	False
AP022381.1	188466	IncAC2	82.5	False
AP022382.1	81737	IncN	80.4	False
AP022383.1	10123	ColRNAI	100.0	False
AP022385.1	157747	IncAC2	35.2	True
AP022386.1	81868	IncN	80.5	False
AP022387.1	30719	IncAC2	59.8	False
AP022388.1	10123	ColRNAI	65.6	False
AP022420.1	191493	IncHI2	57.9	False
AP022421.1	143040	IncFII	59.7	False
AP022422.1	67379	IncN	100.0	False
AP022423.1	12436	IncFII	79.7	False
AP022424.1	4901	repSA_small	79.2	False
AP022425.1	3963	IncFII	100.0	False
AP022426.1	3652	IncN	100.0	False
AP022427.1	3560	IncN	80.1	False
AP022428.1	3514	IncX1	60.6	False
AP022429.1	2929	repEF_res	64.2	False
AP022430.1	2028	IncN	100.0	False
AP022439.1	254388	IncFII	80.6	False
AP022440.1	6753	IncFII	100.0	False
AP022441.1	5711	IncHI1	40.5	False
AP022442.1	4534	IncHI1	39.9	True
AP022443.1	4119	IncX1	80.6	False
AP022444.1	3860	IncX1	79.8	False
AP022445.1	2224	IncFII	80.1	False
AP022520.1	266476	IncHI2	84.1	False
AP022521.1	159851	IncFII	100.0	False
AP022522.1	4956	IncFII	80.1	False
AP022523.1	4858	IncFII	100.0	False
AP022524.1	3875	IncFII	100.0	False
AP022554.1	190035	IncFII	100.0	False
AP022555.1	70483	IncFII	100.0	False
AP022556.1	29804	IncFII	100.0	False
AP022644.1	363764	repSA_large	80.3	False
AP022645.1	72105	repEF_res	59.3	False
AP022646.1	60534	repAci_large	59.9	False
AP022647.1	14157	repEF_conj	59.7	False
AP022648.1	13909	repAci_large	100.0	False
AP022649.1	8882	repSA_large	100.0	False
AP022831.1	32375	repPae_large	100.0	False
AP022832.1	32277	repPae_large	100.0	False
AP022833.1	27385	repPae_large	100.0	False
AP022895.1	278725	repEF_res	60.3	False
AP022896.1	67774	repSA_large	100.0	False
AP022897.1	6009	repEF_conj	100.0	False
AP022898.1	4796	repEF_res	100.0	False
AP022899.1	3869	repEF_conj	100.0	False
AP022900.1	3462	repEF_res	40.7	False
AP022901.1	3287	repAci_large	39.4	True
AP022902.1	2577	repEF_res	80.1	False
AP023006.1	435106	repEF_res	61.1	False
AP023007.1	74958	repSA_large	68.0	False
AP023008.1	52713	repEF_conj	59.8	False
AP023009.1	10816	repEF_conj	100.0	False
AP023010.1	9190	repSA_small	81.6	False
AP023011.1	5188	repEF_res	81.1	False
AP023012.1	4045	repEF_res	41.3	False
AP023013.1	3169	repEF_conj	100.0	False
AP023015.1	275566	repEF_res	59.4	False
AP023016.1	74401	repEF_conj	83.6	False
AP023017.1	37832	repEF_conj	60.4	False
AP023018.1	35290	repEF_conj	100.0	False
AP023019.1	30457	repEF_res	58.9	False
AP023020.1	29698	repEF_res	78.0	False
AP023021.1	22481	repEF_conj	100.0	False
AP023022.1	10933	repEF_conj	100.0	False
AP023023.1	5288	repEF_conj	100.0	False
AP023024.1	4630	repEF_conj	59.4	False
AP023025.1	3259	repEF_res	59.0	False
AP023026.1	3233	repEF_conj	59.7	False
AP023241.1	42044	repAci_large	100.0	False
AP023265.1	217495	IncFII	100.0	False
AP023266.1	114591	IncFII	100.0	False
AP023267.1	66443	IncFII	100.0	False
AP023409.1	89961	repPae_large	100.0	False
AP024098.1	2139380	repPae_large	100.0	False
AP024100.1	2131108	repPae_large	100.0	False
AP024102.1	2094349	repPae_large	100.0	False
AP024104.1	1936579	repPae_large	100.0	False
AP024106.1	2077684	repPae_large	100.0	False
AP024108.1	2107950	repPae_large	100.0	False
AP024132.2	148267	IncF	60.9	False
AP024133.2	111583	IncFIB	97.5	False
AP024153.1	102890	IncAC2	59.6	False
AP024158.1	2139380	repPae_large	100.0	False
AP024160.1	2131116	repPae_large	100.0	False
AP024162.1	2117975	repPae_large	100.0	False
AP024163.1	71852	repPae_large	66.8	False
AP024278.1	25027	repEF_conj	80.3	False
AP024279.1	6937	repEF_conj	80.7	False
AP024346.1	2105	IncX3	59.9	False
AP024350.1	92095	IncC	67.7	False
AP024351.1	2264	IncX3	100.0	False
AP024353.1	2264	IncX3	100.0	False
AP024411.1	2243	repSA_small	100.0	False
AP024472.1	81949	IncFII	61.2	False
AP024474.1	88175	IncFII	100.0	False
AP024476.1	89028	IncFII	100.0	False
AP024477.1	88328	IncI1	100.0	False
AP024479.1	80949	IncFII	77.7	False
AP024491.1	76507	repAci_large	100.0	False
AP024492.1	13360	repAci_large	100.0	False
AP024493.1	9837	repSA_large	79.6	False
AP024494.1	2683	repAci_large	100.0	False
AP024496.1	144031	IncFII	100.0	False
AP024497.1	70277	IncFII	100.0	False
AP024632.1	38463	repPae_large	80.7	False
AP024633.1	160561	repPae_large	79.0	False
AP024635.1	160560	repPae_large	79.3	False
AP024638.1	160559	repPae_large	79.3	False
AP024640.1	160560	repPae_large	79.3	False
AP024642.1	160559	repPae_large	79.0	False
AP024645.1	185441	repPae_large	79.6	False
AP024662.1	113037	repPae_large	80.5	False
AP024663.1	151615	repPae_large	78.7	False
AP024695.1	147070	IncX1	63.2	False
AP024696.1	134802	IncFII	100.0	False
AP024697.1	5593	IncX1	34.7	True
AP024698.1	5167	IncFII	80.2	False
AP024699.1	4063	IncX1	40.9	False
AP024700.1	3373	ColRNAI	100.0	False
AP024701.1	1718	IncFII	100.0	False
AP024711.1	212187	IncFII	100.0	False
AP024748.1	59050	repPae_large	100.0	False
AP024827.1	87186	repPae_small	61.3	False
AP024844.2	162852	IncAC2	82.7	False
AP024877.1	244363	repAci_large	100.0	False
AP024914.1	81133	IncFII	67.3	False
AP024915.1	4096	IncFII	100.0	False
AP024919.1	81133	IncFII	67.3	False
AP024920.1	4096	IncFII	100.0	False
AP024970.1	54536	repSA_large	100.0	False
AP024971.1	41600	repSA_large	100.0	False
AP024972.1	14826	repSA_large	79.8	False
AP024974.1	54478	repSA_large	100.0	False
AP024975.1	35499	repSA_large	100.0	False
AP024977.1	54536	repSA_large	100.0	False
AP024978.1	47265	repSA_large	100.0	False
AP024980.1	54478	repSA_large	100.0	False
AP024981.1	47265	repSA_large	100.0	False
AP024983.1	54536	repSA_large	100.0	False
AP025019.1	384612	repAci_large	62.6	False
AP025020.1	218359	repAci_large	100.0	False
AP025021.1	93644	repAci_large	100.0	False
AP025022.1	81719	repAci_large	100.0	False
AP025023.1	58604	repAci_large	100.0	False
AP025024.1	39686	repAci_large	59.0	False
AP025025.1	36060	repAci_large	100.0	False
AP025026.1	16443	repAci_large	100.0	False
AP025027.1	14818	repAci_large	100.0	False
AP025276.1	16592	repPae_small	100.0	False
AP025536.1	86521	repAci_large	100.0	False
AP025537.1	39267	repAci_large	100.0	False
AP025538.1	22130	repAci_large	57.2	False
AP025555.1	54827	repPae_large	79.7	False
AP025588.1	9747	IncA	39.0	True
AP025629.1	9747	IncA	39.1	True
AP025631.1	31516	repSA_large	100.0	False
AP025632.1	42453	repSA_large	80.3	False
AP025633.1	38085	repSA_large	100.0	False
AP025634.1	24903	repSA_large	80.2	False
AP025670.1	172709	IncN	59.8	False
AP025671.1	128012	IncFII	100.0	False
AP025672.1	12443	repPae_small	81.0	False
AP025691.1	67568	repEF_conj	100.0	False
AP025950.1	54732	repSA_large	81.2	False
AP025952.1	54732	repSA_large	100.0	False
AP025954.1	54732	repSA_large	81.2	False
AP025956.1	50324	repSA_large	80.5	False
AP025958.1	47615	repSA_large	100.0	False
AP025960.1	50125	repSA_large	80.6	False
AP025962.1	45460	repSA_large	61.5	False
AP025964.1	45699	repSA_large	59.6	False
AP025967.1	129655	repSA_large	100.0	False
AP025969.1	44242	repSA_large	100.0	False
AP025971.1	41247	repSA_large	58.4	False
AP025973.1	54629	repSA_large	81.2	False
AP025975.1	47642	repSA_large	80.0	False
AP025976.1	4369	repSA_large	40.7	False
AP025978.1	125531	repSA_large	100.0	False
AP025980.1	47525	repSA_large	80.8	False
AP025982.1	60688	repSA_large	80.8	False
AP025984.1	50551	repSA_large	80.8	False
AP025986.1	48650	repSA_large	80.7	False
AP025988.1	45689	repSA_large	60.1	False
AP025989.1	36975	repEF_res	43.0	False
AP025991.1	54732	repSA_large	100.0	False
AP025993.1	47623	repSA_large	80.0	False
AP025994.1	4364	repSA_large	41.1	False
AP025997.1	131951	repSA_large	100.0	False
AP025998.1	35593	repSA_small	53.4	False
AP026000.1	44094	repSA_large	58.0	False
AP026002.1	47625	repSA_large	80.3	False
AP026004.1	47649	repSA_large	61.3	False
AP026006.1	54632	repSA_large	81.2	False
AP026008.1	54628	repSA_large	81.1	False
AP026010.1	44802	repSA_large	61.3	False
AP026012.1	44806	repSA_large	61.3	False
AP026013.1	4367	repEF_res	58.4	False
AP026015.1	54730	repSA_large	100.0	False
AP026066.1	7001	repSA_large	81.5	False
AP026067.1	10560	repSA_large	100.0	False
AP026445.1	8237	repEF_conj	60.9	False
AP026448.1	138779	IncF	100.0	False
AP026449.1	121438	IncI	50.0	False
AP026450.1	49245	IncN	100.0	False
AP026451.1	6267	IncFII	36.7	True
AP026452.1	6062	IncFII	36.1	True
AP026453.1	3751	IncFII	100.0	False
AP026455.1	126291	IncF	100.0	False
AP026456.1	97409	IncX1	39.0	True
AP026457.1	76859	IncFII	100.0	False
AP026458.1	49620	IncN	100.0	False
AP026459.1	8899	ColE	45.3	False
AP026460.1	6756	IncN	40.2	False
AP026461.1	5589	IncX1	100.0	False
AP026462.1	1552	ColRNAI	46.9	False
AP026464.1	127328	IncF	100.0	False
AP026465.1	95639	IncX1	45.9	False
AP026466.1	64098	IncI	100.0	False
AP026467.1	47664	IncN	100.0	False
AP026468.1	3372	ColRNAI	39.1	True
AP026469.1	2307	repAci_large	40.0	True
AP026470.1	1553	ColRNAI	91.4	False
AP026472.1	93433	IncX1	39.9	True
AP026473.1	74427	IncFII	100.0	False
AP026474.1	50698	IncN	100.0	False
AP026475.1	4073	IncX1	39.8	True
AP026477.1	155167	IncF	100.0	False
AP026478.1	50585	IncN	100.0	False
AP026480.1	117889	IncF	100.0	False
AP026481.1	50698	IncN	100.0	False
AP026482.1	4087	IncFII	40.2	False
AP026483.1	2693	IncX1	100.0	False
AP026485.1	39121	IncN	100.0	False
AP026486.1	4087	IncFII	40.1	False
AP026488.1	152942	IncFIB	100.0	False
AP026489.1	103767	IncHI1	100.0	False
AP026490.1	50131	IncX1	100.0	False
AP026491.1	48260	IncN	100.0	False
AP026492.1	6222	IncFII	100.0	False
AP026493.1	5903	IncFII	58.9	False
AP026494.1	4867	IncX1	100.0	False
AP026496.1	195290	IncHI2	100.0	False
AP026497.1	93168	IncFII	100.0	False
AP026498.1	57074	IncI2	100.0	False
AP026499.1	50698	IncN	100.0	False
AP026500.1	43680	IncX1	100.0	False
AP026501.1	6466	IncI2	58.1	False
AP026502.1	3988	IncFII	60.7	False
AP026504.1	93747	IncHI1	100.0	False
AP026505.1	66878	IncF	100.0	False
AP026506.1	48249	IncN	100.0	False
AP026508.1	235972	IncHI2	100.0	False
AP026509.1	48260	IncN	100.0	False
AP026511.1	63805	IncFII	100.0	False
AP026512.1	58542	IncN	100.0	False
AP026513.1	8744	IncFII	100.0	False
AP026515.1	170530	IncFII	100.0	False
AP026516.1	49681	IncN	100.0	False
AP026517.1	6668	ColE	64.6	False
AP026519.1	149987	IncF	100.0	False
AP026520.1	114665	IncFIB	97.2	False
AP026521.1	67857	IncFII	100.0	False
AP026522.1	49498	IncN	100.0	False
AP026523.1	4073	IncX1	40.9	False
AP026524.1	2310	IncX1	100.0	False
AP026530.1	655459	IncN	59.6	False
AP026531.1	168269	IncF	100.0	False
AP026532.1	101720	IncFII	45.1	False
AP026533.1	45363	IncN	100.0	False
AP026534.1	13906	IncX1	61.9	False
AP026535.1	6560	IncFII	100.0	False
AP026536.1	6274	IncX1	53.3	False
AP026537.1	292	repPae_small	75.2	False
AP026557.1	323648	repAci_large	81.5	False
AP026574.1	257732	repEF_res	100.0	False
AP026575.1	82303	repEF_conj	100.0	False
AP026576.1	63555	repEF_conj	52.5	False
AP026577.1	45488	repEF_res	81.4	False
AP026578.1	4376	repEF_res	99.1	False
AP026580.1	241009	repEF_res	100.0	False
AP026581.1	110099	repEF_conj	59.5	False
AP026582.1	43555	repEF_res	82.1	False
AP026583.1	6031	repEF_res	88.1	False
AP026584.1	2930	repEF_res	80.6	False
AP026585.1	2189	repEF_res	85.5	False
AP026587.1	239520	repEF_res	100.0	False
AP026588.1	88997	repEF_conj	100.0	False
AP026589.1	42609	repEF_res	100.0	False
AP026590.1	6809	repEF_res	100.0	False
AP026591.1	5995	repEF_res	87.6	False
AP026592.1	2181	repEF_res	84.9	False
AP026594.1	223682	repEF_res	100.0	False
AP026595.1	88998	repEF_conj	100.0	False
AP026596.1	43559	repEF_res	100.0	False
AP026597.1	6087	repEF_res	86.1	False
AP026598.1	6028	repEF_res	88.1	False
AP026599.1	2939	repEF_res	80.6	False
AP026600.1	2177	repEF_res	100.0	False
AP026605.1	134260	repEF_res	100.0	False
AP026606.1	87193	repEF_conj	100.0	False
AP026607.1	56468	repEF_conj	57.7	False
AP026608.1	50850	repEF_res	81.7	False
AP026609.1	20946	repEF_res	100.0	False
AP026610.1	7904	repEF_res	88.9	False
AP026611.1	6176	repEF_res	100.0	False
AP026613.1	321364	repEF_res	100.0	False
AP026614.1	88777	repEF_conj	100.0	False
AP026615.1	63653	repEF_conj	71.6	False
AP026616.1	2057	repEF_res	59.9	False
AP026618.1	319076	repEF_res	100.0	False
AP026619.1	87216	repEF_conj	100.0	False
AP026620.1	63323	repEF_res	57.9	False
AP026621.1	28796	repEF_res	100.0	False
AP026622.1	8080	repEF_res	85.1	False
AP026623.1	5072	repEF_res	82.1	False
AP026624.1	4372	repEF_res	62.2	False
AP026625.1	3891	repEF_res	72.4	False
AP026626.1	2921	repEF_res	100.0	False
AP026627.1	1931	repEF_res	100.0	False
AP026629.1	165734	repEF_res	86.3	False
AP026630.1	132791	repEF_conj	59.5	False
AP026631.1	63476	repEF_conj	63.3	False
AP026633.1	228769	repEF_res	100.0	False
AP026634.1	89119	repEF_conj	100.0	False
AP026635.1	56385	repEF_res	59.4	False
AP026636.1	33993	repEF_res	100.0	False
AP026637.1	11816	repEF_res	88.0	False
AP026638.1	6158	repEF_res	98.8	False
AP026639.1	4362	repEF_res	60.4	False
AP026640.1	2058	repEF_res	80.3	False
AP026642.1	276002	repEF_res	100.0	False
AP026643.1	89199	repEF_conj	100.0	False
AP026644.1	61865	repEF_conj	58.4	False
AP026645.1	27725	repEF_res	100.0	False
AP026646.1	6165	repEF_res	100.0	False
AP026647.1	4470	repEF_res	100.0	False
AP026648.1	4369	repEF_res	60.8	False
AP026649.1	2989	repAci1	40.2	False
AP026651.1	356159	repEF_res	100.0	False
AP026652.1	86780	repEF_conj	100.0	False
AP026653.1	38340	repEF_res	100.0	False
AP026654.1	4825	repEF_res	94.8	False
AP026688.1	12904	repAci_large	59.8	False
AP026689.1	11959	repAci_large	100.0	False
AP026690.1	3243	repAci_large	100.0	False
AP026719.1	73512	repEF_conj	100.0	False
AP026727.1	73501	repEF_conj	100.0	False
AP026730.1	74832	repEF_conj	100.0	False
AP026740.1	76555	IncFII	100.0	False
AP026741.1	33093	IncX4	100.0	False
AP026743.1	74663	IncFII	79.0	False
AP026744.1	61055	IncFII	100.0	False
AP026745.1	3788	IncX1	100.0	False
AP026747.1	112398	IncFII	100.0	False
AP026748.1	80291	IncFII	80.7	False
AP026749.1	6715	IncX1	53.1	False
AP026750.1	6673	IncFII	58.8	False
AP026752.1	75503	IncFII	100.0	False
AP026753.1	68332	IncFII	100.0	False
AP026755.1	97866	IncX1	51.4	False
AP026756.1	76600	IncFII	100.0	False
AP026757.1	40938	IncI1	81.4	False
AP026758.1	40224	IncI1	42.0	False
AP026760.1	75499	IncFII	100.0	False
AP026762.1	75537	IncFII	100.0	False
AP026799.1	3292	repPae_large	81.3	False
AP026900.1	256462	repPae_small	63.9	False
AP026901.1	122247	repPae_large	53.8	False
AP026971.1	305179	repPae_large	100.0	False
AP027039.1	8731	repAci1	100.0	False
AP027222.1	248456	repEF_res	100.0	False
AP027223.1	71754	repEF_conj	74.3	False
AP027224.1	12309	repEF_res	100.0	False
AP027225.1	9370	repEF_res	100.0	False
AP027226.1	8744	repEF_res	61.1	False
AP027228.1	246962	repEF_res	100.0	False
AP027229.1	71757	repEF_conj	74.4	False
AP027230.1	60121	repEF_res	81.4	False
AP027231.1	12370	repEF_res	100.0	False
AP027232.1	4372	repEF_res	60.8	False
AP027234.1	246977	repEF_res	100.0	False
AP027235.1	71749	repEF_conj	74.2	False
AP027236.1	12368	repEF_res	99.9	False
AP027237.1	9369	repEF_res	100.0	False
AP027238.1	8744	repEF_res	73.6	False
AP027245.1	30872	IncFII	100.0	False
AP027307.1	208549	repPae_large	56.2	False
AP027312.1	997758	repPae_small	82.0	False
AP027313.1	60342	repPae_large	78.0	False
AP027315.1	951254	repPae_small	81.8	False
AP027316.1	290251	repPae_small	81.9	False
AP027317.1	108941	repPae_small	63.5	False
AP027319.1	997761	repPae_small	81.8	False
AP027320.1	60342	repPae_large	78.0	False
AP027322.1	997758	repPae_small	82.0	False
