plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	nn_distance	nn_training_id	source
AP014952.1	IncFII	100.0	209081	1.1.3.42.150.1863	1	1	3	42	150	1863	0.000823	RefSeq_NZ_CP134028.1	reference
AP014953.1	IncFIB	80.0	104259	1.1.3.42.148.3123	1	1	3	42	148	3123	0.002305	NZ_CP050365.1	reference
AP014954.1	IncFII	100.0	81481	1.1.3.42.150.3124	1	1	3	42	150	3124	0.001688	RefSeq_NZ_OP378642.1	reference
AP014955.1	IncX1	100.0	3897	1.1.3.134.335.3125	1	1	3	134	335	3125	0.035526	RefSeq_NZ_CP027574.1	reference
AP017309.1	IncFIB	59.7	325675	1.1.3.135.336.3126	1	1	3	135	336	3126	0.038374	NZ_CP044520.1	reference
AP017310.1	IncC	40.1	98206	1.1.3.136.337.3127	1	1	3	136	337	3127	0.046564	NZ_CP070557.1	reference
AP017311.1	IncFIB	80.3	92964	1.1.3.137.338.3128	1	1	3	137	338	3128	0.046711	NZ_CP075739.1	reference
AP017376.1	repAci_large	100.0	143540	1.1.3.138.339.3129	1	1	3	138	339	3129	0.023265	NZ_CP040260.1	reference
AP017382.1	repAci_large	100.0	76124	1.1.3.42.340.3130	1	1	3	42	340	3130	0.017058	NZ_CP038501.1	reference
AP017383.1	repAci_large	100.0	62260	1.1.3.139.341.3131	1	1	3	139	341	3131	0.02246	NZ_CP038501.1	reference
AP017384.1	repAci_large	100.0	37064	1.1.3.42.342.3132	1	1	3	42	342	3132	0.013983	NZ_CP038501.1	reference
AP017627.1	repPae_large	100.0	141326	1.1.30.140.343.3133	1	1	30	140	343	3133	0.066235	NZ_AP040354.1	reference
AP017628.1	repPae_large	79.7	21379	1.1.3.42.344.3134	1	1	3	42	344	3134	0.019009	NZ_CP096952.1	reference
AP017915.1	repSA_large	100.0	26809	1.1.3.141.345.3135	1	1	3	141	345	3135	0.022505	NZ_CP152315.1	reference
AP017916.1	repSA_large	100.0	21972	1.1.3.42.346.3136	1	1	3	42	346	3136	0.015247	NC_010279.1	reference
AP017917.1	repSA_large	78.6	20721	1.1.3.142.347.3137	1	1	3	142	347	3137	0.023703	NC_013331.1	reference
AP017918.1	repSA_large	78.6	18962	1.1.3.42.348.3138	1	1	3	42	348	3138	0.016787	NZ_CP180167.1	reference
AP017919.1	repSA_large	100.0	13523	1.1.3.143.349.3139	1	1	3	143	349	3139	0.025222	NZ_CP147830.1	reference
AP017921.1	repPae_small	100.0	19139	5.5.31.144.350.3140	5	5	31	144	350	3140	0.161003	NZ_CP154350.1	reference
AP017960.1	IncFII	79.8	138469	1.1.3.145.351.3141	1	1	3	145	351	3141	0.027683	NZ_CP044520.1	reference
AP017961.1	IncFII	78.4	65838	1.1.3.146.352.3142	1	1	3	146	352	3142	0.023524	NZ_CP044520.1	reference
AP017962.1	repAci_large	100.0	65624	1.1.3.147.353.3143	1	1	3	147	353	3143	0.023592	NZ_CP185453.1	reference
AP017963.1	IncN	60.0	17389	1.1.3.148.354.3144	1	1	3	148	354	3144	0.043756	RefSeq_NZ_CP086389.1	reference
AP017965.1	repSA_large	100.0	201158	1.1.3.42.355.3145	1	1	3	42	355	3145	0.012387	NZ_CP170791.1	reference
AP017966.1	repSA_large	100.0	148259	1.1.3.42.356.3146	1	1	3	42	356	3146	0.012763	NZ_CP170791.1	reference
AP017967.1	repSA_large	100.0	109307	1.1.3.42.357.3147	1	1	3	42	357	3147	0.01441	NZ_CP170791.1	reference
AP017969.1	repSA_large	100.0	89623	1.1.3.42.358.3148	1	1	3	42	358	3148	0.015437	NZ_CP199541.1	reference
AP017970.1	repSA_large	100.0	68063	1.1.3.42.359.3149	1	1	3	42	359	3149	0.019176	NZ_CP199541.1	reference
AP017974.1	repAci_large	100.0	57722	1.1.3.42.360.3150	1	1	3	42	360	3150	0.014214	NZ_CP027185.1	reference
AP017992.1	repAci_large	100.0	117686	1.1.3.149.361.3151	1	1	3	149	361	3151	0.020298	NZ_CP059301.1	reference
AP017993.1	repAci_large	80.2	99115	1.1.3.150.362.3152	1	1	3	150	362	3152	0.024606	NZ_CP185462.1	reference
AP017994.1	repAci_large	60.3	52365	1.1.3.151.363.3153	1	1	3	151	363	3153	0.030532	NZ_CP040260.1	reference
AP017995.1	repAci_large	60.9	34730	1.1.3.152.364.3154	1	1	3	152	364	3154	0.027127	NZ_CP050386.1	reference
AP018182.1	repAci_large	100.0	221468	1.1.3.42.365.3155	1	1	3	42	365	3155	0.015425	NZ_CP027185.1	reference
AP018183.1	repAci_large	100.0	231372	1.1.3.42.366.3156	1	1	3	42	366	3156	0.012861	NZ_CP027185.1	reference
AP018196.1	IncFII	41.7	22602	1.1.3.153.367.3157	1	1	3	153	367	3157	0.03892	RefSeq_NZ_PVMA01000047.1	reference
AP018198.1	IncFII	100.0	16296	1.1.3.154.368.3158	1	1	3	154	368	3158	0.02836	RefSeq_NZ_CP033710.1	reference
AP018199.1	IncHI2	59.3	18933	1.1.3.155.369.3159	1	1	3	155	369	3159	0.032647	RefSeq_NZ_CP064018.1	reference
AP018200.1	IncFII	40.1	17328	1.1.3.156.370.3160	1	1	3	156	370	3160	0.036031	NZ_CP044520.1	reference
AP018201.1	IncX1	100.0	6622	1.1.3.157.371.3161	1	1	3	157	371	3161	0.048181	RefSeq_NZ_MH229869.1	reference
AP018204.1	IncFIB	39.8	411362	1.1.3.158.372.3162	1	1	3	158	372	3162	0.037763	NZ_CP044520.1	reference
AP018205.1	IncFIB	59.9	553673	1.1.3.159.373.3163	1	1	3	159	373	3163	0.039891	NZ_CP044520.1	reference
AP018206.1	IncC	59.1	13170	1.1.3.160.374.3164	1	1	3	160	374	3164	0.032227	NZ_CP059480.1	reference
AP018208.1	repAci_large	100.0	157982	1.1.3.42.375.3165	1	1	3	42	375	3165	0.018571	NZ_CP027185.1	reference
AP018209.1	repAci_large	100.0	207970	1.1.3.42.376.3166	1	1	3	42	376	3166	0.013019	NZ_CP027185.1	reference
AP018211.1	repAci_large	100.0	190194	1.1.3.42.377.3167	1	1	3	42	377	3167	0.014778	NZ_CP027185.1	reference
AP018212.1	repAci_large	100.0	57802	1.1.3.42.378.3168	1	1	3	42	378	3168	0.012954	NZ_CP027185.1	reference
AP018213.1	repAci_large	100.0	35884	1.1.3.42.379.3169	1	1	3	42	379	3169	0.016011	NZ_CP027185.1	reference
AP018214.1	repAci_large	100.0	25761	1.1.3.42.380.3170	1	1	3	42	380	3170	0.016621	NZ_CP038501.1	reference
AP018215.1	repAci_large	100.0	21270	1.1.3.161.381.3171	1	1	3	161	381	3171	0.021339	NZ_CP027185.1	reference
AP018224.1	repAci_large	100.0	227385	1.1.3.42.382.3172	1	1	3	42	382	3172	0.014676	NZ_CP027185.1	reference
AP018225.1	repAci_large	100.0	89634	1.1.3.42.383.3173	1	1	3	42	383	3173	0.016698	NZ_CP027185.1	reference
AP018234.1	repAci_large	100.0	214996	1.1.3.42.384.3174	1	1	3	42	384	3174	0.016256	NZ_CP027185.1	reference
AP018235.1	repAci_large	100.0	194818	1.1.3.42.385.3175	1	1	3	42	385	3175	0.014667	NZ_CP027185.1	reference
AP018238.1	repAci_large	100.0	84811	1.1.3.42.386.3176	1	1	3	42	386	3176	0.017274	NZ_CP027182.1	reference
AP018239.1	repAci_large	100.0	93764	1.1.3.42.387.3177	1	1	3	42	387	3177	0.016753	NZ_CP020596.1	reference
AP018240.1	repAci_large	100.0	55884	1.1.3.42.388.3178	1	1	3	42	388	3178	0.018951	NZ_CP187744.1	reference
AP018241.1	repAci_large	100.0	46852	1.1.3.42.389.3179	1	1	3	42	389	3179	0.01852	NZ_CP027182.1	reference
AP018243.1	repAci_large	100.0	39434	1.1.3.42.390.3180	1	1	3	42	390	3180	0.017798	NZ_CP028139.1	reference
AP018244.1	repAci_large	100.0	39300	1.1.3.42.391.3181	1	1	3	42	391	3181	0.017325	NZ_CP040260.1	reference
AP018245.1	IncFII	100.0	29106	1.1.3.162.392.3182	1	1	3	162	392	3182	0.020298	RefSeq_NZ_CP009366.1	reference
AP018247.1	IncFII	100.0	29597	1.1.3.163.393.3183	1	1	3	163	393	3183	0.022323	RefSeq_NC_019234.1	reference
AP018264.1	repAci_large	80.0	234762	1.1.3.164.394.3184	1	1	3	164	394	3184	0.021225	NZ_CP041590.1	reference
AP018265.1	repAci_large	100.0	76644	1.1.3.165.395.3185	1	1	3	165	395	3185	0.023485	NZ_CP185453.1	reference
AP018266.1	IncHI2	80.8	59631	1.1.3.42.396.3186	1	1	3	42	396	3186	0.01709	NZ_CP070555.1	reference
AP018267.1	IncFII	100.0	28083	1.1.3.166.397.3187	1	1	3	166	397	3187	0.023326	RefSeq_NZ_CP033708.1	reference
AP018275.1	repAci_large	100.0	91394	1.1.3.42.398.3188	1	1	3	42	398	3188	0.014976	NZ_CP027185.1	reference
AP018276.1	repAci_large	100.0	55090	1.1.3.42.399.3189	1	1	3	42	399	3189	0.019093	NZ_CP185453.1	reference
AP018277.1	repAci_large	100.0	126615	1.1.3.42.400.3190	1	1	3	42	400	3190	0.013486	NZ_CP027185.1	reference
AP018278.1	repAci_large	100.0	72581	1.1.3.167.401.3191	1	1	3	167	401	3191	0.020764	NZ_CP044460.1	reference
AP018279.1	repAci1	80.6	5239	1.1.3.168.402.3192	1	1	3	168	402	3192	0.042064	NZ_CP179870.1	reference
AP018282.1	repAci_large	100.0	161734	1.1.3.42.403.3193	1	1	3	42	403	3193	0.019389	NZ_CP027185.1	reference
AP018283.1	repSA_large	100.0	123154	1.1.3.42.404.3194	1	1	3	42	404	3194	0.011385	NZ_CP170791.1	reference
AP018284.1	repAci_large	100.0	149096	1.1.3.42.405.3195	1	1	3	42	405	3195	0.017981	NZ_CP027185.1	reference
AP018285.1	repAci_large	100.0	22161	1.1.3.169.406.3196	1	1	3	169	406	3196	0.024861	NZ_CP040260.1	reference
AP018286.1	repAci_large	100.0	18150	1.1.3.170.407.3197	1	1	3	170	407	3197	0.024509	NZ_CP142897.1	reference
AP018287.1	repAci_large	100.0	11549	1.1.3.171.408.3198	1	1	3	171	408	3198	0.03287	NZ_CP046537.1	reference
AP018291.1	repAci_large	100.0	394733	1.1.3.42.409.3199	1	1	3	42	409	3199	0.014586	NZ_CP027185.1	reference
AP018292.1	repAci_large	100.0	365907	1.1.3.42.410.3200	1	1	3	42	410	3200	0.019441	NZ_CP026129.1	reference
AP018293.1	repAci_large	100.0	105312	1.1.3.172.411.3201	1	1	3	172	411	3201	0.026306	NZ_CP027182.1	reference
AP018294.1	repAci_large	100.0	73113	1.1.3.173.412.3202	1	1	3	173	412	3202	0.028625	NZ_CP027185.1	reference
AP018295.1	repAci_large	100.0	18433	1.1.3.174.413.3203	1	1	3	174	413	3203	0.021596	NZ_CP027185.1	reference
AP018296.1	repAci_large	79.4	13693	1.1.32.175.414.3204	1	1	32	175	414	3204	0.058345	NZ_CP044020.1	reference
AP018297.1	repAci_large	100.0	4312	1.1.33.176.415.3205	1	1	33	176	415	3205	0.061947	NZ_CP027185.1	reference
AP018300.1	repAci_large	100.0	312401	1.1.3.42.416.3206	1	1	3	42	416	3206	0.012161	NZ_CP102763.1	reference
AP018301.1	repAci_large	100.0	78672	1.1.3.42.417.3207	1	1	3	42	417	3207	0.015853	NZ_CP027185.1	reference
AP018302.1	repAci_large	100.0	39362	1.1.3.42.418.3208	1	1	3	42	418	3208	0.013217	NZ_CP027185.1	reference
AP018303.1	repAci_large	100.0	24478	1.1.3.42.419.3209	1	1	3	42	419	3209	0.019838	NZ_CP102763.1	reference
AP018304.1	repAci_large	100.0	24589	1.1.3.42.420.3210	1	1	3	42	420	3210	0.014328	NZ_CP027185.1	reference
AP018305.1	repAci_large	100.0	22631	1.1.3.177.421.3211	1	1	3	177	421	3211	0.024623	NZ_CP027185.1	reference
AP018306.1	repAci_large	100.0	20666	1.1.3.178.422.3212	1	1	3	178	422	3212	0.021949	NZ_CP102763.1	reference
AP018308.1	repAci_large	100.0	292325	1.1.3.42.423.3213	1	1	3	42	423	3213	0.015583	NZ_CP027185.1	reference
AP018309.1	repAci_large	100.0	241484	1.1.3.42.424.3214	1	1	3	42	424	3214	0.015603	NZ_CP027185.1	reference
AP018310.1	repAci_large	100.0	216164	1.1.3.42.425.3215	1	1	3	42	425	3215	0.014853	NZ_CP027185.1	reference
AP018311.1	repAci_large	100.0	56669	1.1.3.42.426.3216	1	1	3	42	426	3216	0.017118	NZ_CP027182.1	reference
AP018312.1	repAci_large	100.0	45978	1.1.3.42.427.3217	1	1	3	42	427	3217	0.019932	NZ_CP027185.1	reference
AP018313.1	repAci_large	100.0	40278	1.1.3.179.428.3218	1	1	3	179	428	3218	0.023693	NZ_CP185453.1	reference
AP018315.1	repAci_large	100.0	255152	1.1.3.42.429.3219	1	1	3	42	429	3219	0.015387	NZ_CP059301.1	reference
AP018319.1	repAci_large	100.0	484721	1.1.3.42.430.3220	1	1	3	42	430	3220	0.012662	NZ_CP027185.1	reference
AP018320.1	repAci_large	100.0	311696	1.1.3.42.431.3221	1	1	3	42	431	3221	0.01182	NZ_CP027185.1	reference
AP018321.1	repAci_large	100.0	93475	1.1.3.42.432.3222	1	1	3	42	432	3222	0.016802	NZ_CP027185.1	reference
AP018322.1	repAci_large	100.0	34721	1.1.3.42.433.3223	1	1	3	42	433	3223	0.013329	NZ_CP027182.1	reference
AP018323.1	repAci_large	100.0	42584	1.1.3.42.434.3224	1	1	3	42	434	3224	0.015543	NZ_CP027185.1	reference
AP018324.1	repAci_large	100.0	37388	1.1.3.42.435.3225	1	1	3	42	435	3225	0.013754	NZ_CP059685.1	reference
AP018325.1	repAci_large	100.0	29094	1.1.3.42.436.3226	1	1	3	42	436	3226	0.019921	NZ_CP027185.1	reference
AP018330.1	repAci_large	100.0	40828	1.1.3.42.437.3227	1	1	3	42	437	3227	0.011029	NZ_CP050386.1	reference
AP018331.1	IncFII	100.0	34879	1.1.3.180.438.3228	1	1	3	180	438	3228	0.020276	RefSeq_NZ_CP009366.1	reference
AP018332.1	repAci_large	100.0	34997	1.1.3.42.439.3229	1	1	3	42	439	3229	0.016604	NZ_CP027185.1	reference
AP018334.1	repAci_large	80.5	29435	1.1.3.42.440.3230	1	1	3	42	440	3230	0.019362	NZ_CP102763.1	reference
AP018497.1	repPae_small	80.5	127402	1.1.3.181.441.3231	1	1	3	181	441	3231	0.032329	NZ_CP027173.1	reference
AP018516.1	IncFII	100.0	173853	1.1.3.42.442.3232	1	1	3	42	442	3232	0.011203	RefSeq_NZ_JDVF01000123.1	reference
AP018534.1	ColRNAI	40.5	5962	1.1.34.182.443.3233	1	1	34	182	443	3233	0.067389	NZ_CP117036.1	reference
AP018566.2	IncN	100.0	72564	1.1.3.42.150.2590	1	1	3	42	150	2590	0.000274	RefSeq_NZ_MZ836798.1	reference
AP018567.2	IncN	39.7	39210	1.1.3.42.150.3234	1	1	3	42	150	3234	0.005791	NZ_CP071256.1	reference
AP018568.2	IncN	100.0	87556	1.1.3.42.150.2001	1	1	3	42	150	2001	0.000154	RefSeq_NZ_CP035314.1	reference
AP018569.2	IncN	78.8	120807	1.1.3.42.150.3235	1	1	3	42	150	3235	0.002255	NZ_CP053729.1	reference
AP018570.2	IncN	42.8	287916	1.1.3.42.150.3236	1	1	3	42	150	3236	0.002771	RefSeq_NZ_CP047737.1	reference
AP018571.2	IncX3	85.8	52715	1.1.3.42.150.3237	1	1	3	42	150	3237	0.002337	CP080719.1	reference
AP018579.2	IncAC2	62.0	148825	1.1.3.42.150.3238	1	1	3	42	150	3238	0.002866	NZ_CP030132.1	reference
AP018581.2	IncFII	100.0	75574	1.1.3.42.150.1133	1	1	3	42	150	1133	3e-05	RefSeq_NZ_AP018582.1	reference
AP018698.1	repPae_large	100.0	154991	1.1.3.183.444.3239	1	1	3	183	444	3239	0.021578	NZ_CP158572.1	reference
AP018700.1	repAci_large	100.0	37398	1.1.3.42.445.3240	1	1	3	42	445	3240	0.01122	NZ_CP048851.1	reference
AP018701.1	repEF_res	39.6	21680	1.1.3.42.446.3241	1	1	3	42	446	3241	0.015013	NZ_CP170791.1	reference
AP018702.1	repAci_large	100.0	12250	1.1.3.184.447.3242	1	1	3	184	447	3242	0.028035	NZ_CP026705.1	reference
AP018703.1	repEF_res	60.6	3029	1.1.3.185.448.3243	1	1	3	185	448	3243	0.032159	NZ_CP065550.1	reference
AP018704.1	repAci_large	100.0	2023	1.1.35.186.449.3244	1	1	35	186	449	3244	0.056	NZ_CP020582.1	reference
AP018705.1	IncN	100.0	38644	1.1.3.187.450.3245	1	1	3	187	450	3245	0.027422	RefSeq_NC_014368.1	reference
AP018706.1	IncN	100.0	39117	1.1.3.188.451.3246	1	1	3	188	451	3246	0.026964	RefSeq_NC_014368.1	reference
AP018707.1	repPae_large	57.1	41033	1.1.3.42.452.3247	1	1	3	42	452	3247	0.010847	NZ_CP065413.1	reference
AP018708.1	repPae_large	57.4	41117	1.1.3.42.453.3248	1	1	3	42	453	3248	0.010945	NZ_CP065413.1	reference
AP018709.1	repPae_large	83.4	50476	1.1.3.42.138.3249	1	1	3	42	138	3249	0.001278	NZ_CP199822.1	reference
AP018710.1	repPae_small	100.0	35552	1.1.3.42.70.91	1	1	3	42	70	91	0.000704	NZ_CP124639.1	reference
AP019385.1	IncHI2	82.1	299555	1.1.3.42.150.1396	1	1	3	42	150	1396	0.000926	NZ_CP112981.1	reference
AP019386.1	IncHI2	100.0	324148	1.1.3.42.150.1396	1	1	3	42	150	1396	0.000664	NZ_CP112981.1	reference
AP019515.1	IncAC2	54.5	273549	1.1.3.42.146.3250	1	1	3	42	146	3250	0.009045	NZ_CP052760.1	reference
AP019683.1	repPae_small	57.0	78747	1.1.3.42.454.3251	1	1	3	42	454	3251	0.012862	NZ_CP097844.1	reference
AP019704.1	IncFII	100.0	92337	1.1.3.42.150.3252	1	1	3	42	150	3252	0.004072	RefSeq_NZ_CP035849.1	reference
AP019705.1	IncFII	100.0	71161	1.1.3.42.150.3253	1	1	3	42	150	3253	0.001355	RefSeq_NZ_CP023369.1	reference
AP019707.1	IncFII	100.0	91036	1.1.3.42.150.3254	1	1	3	42	150	3254	0.003924	RefSeq_NZ_CP013191.1	reference
AP019709.1	IncFII	100.0	86874	1.1.3.42.150.3255	1	1	3	42	150	3255	0.003924	RefSeq_NZ_LR883014.1	reference
AP019710.1	IncX1	60.8	48572	1.1.3.42.455.3256	1	1	3	42	455	3256	0.016327	RefSeq_NZ_JABXVT010000004.1	reference
AP019756.1	IncN	76.7	61451	1.1.3.42.456.3257	1	1	3	42	456	3257	0.010347	NZ_CP044520.1	reference
AP019809.1	repPae_large	100.0	74424	1.1.3.42.146.3258	1	1	3	42	146	3258	0.006479	NZ_CP095924.1	reference
AP019816.1	repAci_large	100.0	72292	1.1.3.42.457.3259	1	1	3	42	457	3259	0.012648	NZ_CP027185.1	reference
AP020331.1	ColRNAI	98.3	4593	1.1.3.74.262.3035	1	1	3	74	262	3035	0.000155	NZ_CP035550.1	reference
AP020333.1	IncHI1	59.0	249939	1.1.3.42.150.1405	1	1	3	42	150	1405	0.000498	NZ_CP064026.1	reference
AP020334.1	IncFII	100.0	6237	1.1.3.189.458.3260	1	1	3	189	458	3260	0.033271	RefSeq_NZ_CP015396.1	reference
AP021850.1	repPae_large	100.0	389567	1.1.3.190.459.3261	1	1	3	190	459	3261	0.044833	NZ_AP040354.1	reference
AP021851.1	repPae_large	100.0	373915	1.1.3.191.460.3262	1	1	3	191	460	3262	0.037065	NZ_CP070468.1	reference
AP021852.1	repPae_small	81.3	8055	1.1.3.192.461.3263	1	1	3	192	461	3263	0.04313	NZ_CP191353.1	reference
AP021860.1	IncFII	100.0	123836	1.1.3.42.150.3264	1	1	3	42	150	3264	0.009664	RefSeq_NZ_CP033708.1	reference
