plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	source	inc_secondary	is_novel
NZ_CP139672.2	ColE	0.5996	19459	1.1.2.9.17.36	1	1	2	9	17	36	reference		False
NZ_CP131912.1	ColE	0.6383	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
CP151663.1	ColE	0.9889	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP151368.1	ColE	0.4293	5538	1.1.2.10.23.65	1	1	2	10	23	65	reference	IncFII(0.36)	False
NZ_CP150007.1	ColE	0.9916	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP149998.1	ColE	0.9918	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP149584.1	ColE	0.9937	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP149315.1	ColE	0.6456	13294	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.34)	False
NZ_CP149310.1	ColE	0.6539	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
NZ_CP125114.1	ColE	0.9857	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP125171.1	ColE	0.974	9293	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP147580.1	ColE	0.9889	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP147589.1	ColE	0.9889	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP146592.1	ColE	0.504	13293	1.1.2.4.7.15	1	1	2	4	7	15	reference	ColRNAI(0.44)	False
NZ_AP027656.1	ColE	0.6401	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_AP027787.1	ColE	0.6328	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.35)	False
NZ_AP027853.1	ColE	0.6375	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_OY754832.1	ColE	0.654	6659	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.35)	False
CP148306.1	ColE	0.526	6653	1.1.2.4.7.16	1	1	2	4	7	16	reference	ColRNAI(0.40)	False
NZ_CP142968.1	ColE	0.9828	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP142914.1	ColE	0.9289	9126	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP141200.1	ColE	0.6202	13272	1.1.2.10.20.55	1	1	2	10	20	55	reference	IncFII(0.25)	False
NZ_CP141848.1	ColE	0.7055	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.28)	False
NZ_CP141567.1	ColE	0.9747	18587	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP139403.1	ColE	0.9858	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP057858.1	ColE	0.6012	6668	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.38)	False
NZ_CP055679.1	ColE	0.6395	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP055604.1	ColE	0.6418	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.34)	False
CP057847.1	ColE	0.5959	6668	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.39)	False
CP057744.1	ColE	0.6508	6669	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.35)	False
CP057628.1	ColE	0.42	6221	1.1.2.4.10.24	1	1	2	4	10	24	reference	IncX1(0.35)	False
CP057624.1	ColE	0.6412	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
CP057425.1	ColE	0.9412	6888	1.1.2.10.20.50	1	1	2	10	20	50	reference		False
CP057414.1	ColE	0.6384	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
CP057401.1	ColE	0.9368	6888	1.1.2.10.20.50	1	1	2	10	20	50	reference		False
CP057374.1	ColE	0.6513	6669	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.35)	False
CP056957.1	ColE	0.7037	7941	1.1.2.10.20.49	1	1	2	10	20	49	reference		False
CP056924.1	ColE	0.5485	5264	1.1.2.4.5.5	1	1	2	4	5	5	reference		False
CP055735.1	ColE	0.5984	2275	1.1.1.1.1.1	1	1	1	1	1	1	reference	ColRNAI(0.40)	False
CP055751.1	ColE	0.5789	6901	1.1.2.10.20.58	1	1	2	10	20	58	reference	IncX1(0.42)	False
NZ_LC438465.1	ColE	0.6395	6646	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
CP054451.1	ColE	0.9206	6969	1.1.2.10.20.50	1	1	2	10	20	50	reference		False
NZ_KF137578.1	ColE	0.4383	5888	1.1.2.3.3.3	1	1	2	3	3	3	reference	IncX1(0.37)	False
NZ_CP038396.1	ColE	0.4373	6888	1.1.2.4.7.19	1	1	2	4	7	19	reference	ColRNAI(0.38)	False
CP052312.1	ColE	0.9848	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052210.1	ColE	0.9855	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052529.1	ColE	0.9862	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052180.1	ColE	0.9829	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052171.1	ColE	0.9858	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052146.1	ColE	0.9848	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052541.1	ColE	0.9855	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052481.1	ColE	0.9874	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052418.1	ColE	0.6505	10085	1.1.2.9.16.35	1	1	2	9	16	35	reference	ColRNAI(0.35)	False
CP052513.1	ColE	0.9855	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052396.1	ColE	0.9856	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052318.1	ColE	0.9856	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052411.1	ColE	0.6814	10071	1.1.2.9.16.34	1	1	2	9	16	34	reference	ColRNAI(0.32)	False
CP052283.1	ColE	0.9858	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052191.1	ColE	0.9859	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052305.1	ColE	0.9856	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052206.1	ColE	0.9862	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP052238.1	ColE	0.9849	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP047382.1	ColE	0.4948	10675	1.1.2.10.20.61	1	1	2	10	20	61	reference	IncFII(0.34)	False
NZ_CP047581.1	ColE	0.6524	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
NZ_LT985257.1	ColE	0.6017	22806	1.1.2.9.17.43	1	1	2	9	17	43	reference	ColRNAI(0.40)	False
NZ_LT985284.1	ColE	0.6062	6549	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.39)	False
NZ_LT985237.1	ColE	0.6423	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP046289.1	ColE	0.8143	4698	1.1.2.4.6.11	1	1	2	4	6	11	reference		False
NZ_CP063504.1	ColE	0.5424	5264	1.1.2.4.5.6	1	1	2	4	5	6	reference	IncX1(0.28)	False
NZ_CP063497.1	ColE	0.5157	8908	1.1.2.10.20.47	1	1	2	10	20	47	reference	IncFII(0.32)	False
CP070397.1	ColE	0.5115	8910	1.1.2.10.20.47	1	1	2	10	20	47	reference	IncFII(0.32)	False
NZ_CP070019.1	ColE	0.424	1668	1.1.4.13.29.73	1	1	4	13	29	73	reference	ColRNAI(0.39)	False
NZ_CP070164.1	ColE	0.9732	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP070126.1	ColE	0.6021	6648	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.38)	False
NZ_CP069896.1	ColE	0.9247	5014	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP069872.1	ColE	0.528	2955	1.1.2.5.12.26	1	1	2	5	12	26	reference	IncI(0.30)	False
NZ_CP070005.1	ColE	0.8248	4760	1.1.2.4.6.10	1	1	2	4	6	10	reference		False
NZ_LR890433.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_LR890507.1	ColE	0.9925	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_LR890709.1	ColE	0.9916	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_AP023457.1	ColE	0.9924	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP066199.1	ColE	0.7068	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.28)	False
NZ_CP065609.1	ColE	0.9409	6888	1.1.2.10.20.50	1	1	2	10	20	50	reference		False
NZ_CP062911.1	ColE	0.6417	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_MT560077.1	ColE	0.9852	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference		False
CP063733.1	ColE	0.6376	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_AP022165.1	ColE	0.6412	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP061395.1	ColE	0.9829	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP061388.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
NZ_CP049130.1	ColE	0.5986	2275	1.1.1.1.1.1	1	1	1	1	1	1	reference	ColRNAI(0.40)	False
NZ_CP059721.1	ColE	0.511	6658	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.46)	False
NZ_CP054383.1	ColE	0.5345	6237	1.1.2.10.22.63	1	1	2	10	22	63	reference	IncFII(0.47)	False
NZ_CP056964.1	ColE	0.5783	7424	1.1.2.10.20.56	1	1	2	10	20	56	reference	IncFII(0.42)	False
NZ_CP056971.1	ColE	0.437	7424	1.1.2.4.7.17	1	1	2	4	7	17	reference	ColRNAI(0.40)	False
NZ_CP057102.1	ColE	0.6409	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP099262.1	ColE	0.983	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP099155.1	ColE	0.7044	7941	1.1.2.10.20.49	1	1	2	10	20	49	reference		False
CP099229.1	ColE	0.6458	6668	1.1.2.10.20.53	1	1	2	10	20	53	reference		False
CP099235.1	ColE	0.6458	6668	1.1.2.10.20.53	1	1	2	10	20	53	reference		False
CP099241.1	ColE	0.6451	6668	1.1.2.10.20.53	1	1	2	10	20	53	reference		False
NZ_CP120565.1	ColE	0.9985	5159	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP120570.1	ColE	0.938	6888	1.1.2.10.20.50	1	1	2	10	20	50	reference		False
NZ_CP119752.1	ColE	0.6454	6668	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.35)	False
NZ_CP087292.1	ColE	0.637	6584	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_ON209486.1	ColE	0.5314	7980	1.1.2.10.20.48	1	1	2	10	20	48	reference	IncFII(0.31)	False
NZ_OP378651.1	ColE	0.909	9506	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_OP242316.1	ColE	0.6203	6675	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.36)	False
NZ_OP242235.1	ColE	0.4087	10560	1.1.2.4.8.22	1	1	2	4	8	22	reference	IncX1(0.38)	False
NZ_OP242250.1	ColE	0.9766	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP103335.1	ColE	0.649	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
NZ_CP104597.1	ColE	0.6385	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.34)	False
NZ_CP074490.1	ColE	0.989	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP116092.1	ColE	0.7109	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.27)	False
OM135998.1	ColE	0.4984	8657	1.1.2.10.20.60	1	1	2	10	20	60	reference	IncFII(0.33)	False
OM135993.1	ColE	0.5192	8656	1.1.2.10.20.59	1	1	2	10	20	59	reference	IncFII(0.31)	False
NZ_CP074544.1	ColE	0.9887	15271	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
NZ_OP428979.1	ColE	0.9614	12808	1.1.2.8.15.30	1	1	2	8	15	30	reference		False
NZ_CP095513.1	ColE	0.5377	6659	1.1.2.4.7.14	1	1	2	4	7	14	reference	ColRNAI(0.40)	False
NZ_CP044441.1	ColE	0.4164	5277	1.1.2.10.23.64	1	1	2	10	23	64	reference	ColRNAI(0.41)	False
CP110600.1	ColE	0.9883	18589	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP110573.1	ColE	0.9857	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP048782.1	ColE	0.9829	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP109778.1	ColE	0.9789	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP104663.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP104543.1	ColE	0.711	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.27)	False
NZ_CP104376.1	ColE	0.9918	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP103641.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP074037.1	ColE	0.6375	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP074023.1	ColE	0.6548	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
CP101804.1	ColE	0.7827	6896	1.1.2.10.20.51	1	1	2	10	20	51	reference		False
NZ_CP101862.1	ColE	0.4639	7983	1.1.2.4.7.21	1	1	2	4	7	21	reference	ColRNAI(0.28)	False
AP026517.1	ColE	0.6463	6668	1.1.2.10.20.53	1	1	2	10	20	53	reference		False
AP026459.1	ColE	0.4528	8899	1.1.2.4.7.20	1	1	2	4	7	20	reference	ColRNAI(0.29)	False
NZ_CP101384.1	ColE	0.639	6647	1.1.2.10.20.54	1	1	2	10	20	54	reference		False
CP100020.1	ColE	0.4176	5274	1.1.2.10.23.64	1	1	2	10	23	64	reference	ColRNAI(0.40)	False
NZ_CP101204.1	ColE	0.6137	6648	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.37)	False
NZ_CP100535.1	ColE	0.4569	8910	1.1.2.4.7.20	1	1	2	4	7	20	reference	ColRNAI(0.29)	False
NZ_CP099724.1	ColE	0.6428	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP092595.1	ColE	0.9788	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP092637.1	ColE	0.9796	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP098341.1	ColE	0.9916	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_OW968279.1	ColE	0.6393	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP088141.1	ColE	0.6208	6645	1.1.2.10.20.57	1	1	2	10	20	57	reference	IncX1(0.25)	False
OW959929.1	ColE	0.9895	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW959912.1	ColE	0.9923	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW969869.1	ColE	0.6008	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.40)	False
OW969780.1	ColE	0.6446	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.36)	False
OW968068.1	ColE	0.6301	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.35)	False
OW967952.1	ColE	0.9858	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW967297.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967279.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967426.1	ColE	0.6446	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.36)	False
OW967419.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967614.1	ColE	0.6062	14836	1.1.2.9.17.38	1	1	2	9	17	38	reference	ColRNAI(0.39)	False
OW967605.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967584.1	ColE	0.6446	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.36)	False
OW967554.1	ColE	0.615	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.38)	False
OW967371.1	ColE	0.6446	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.36)	False
OW967254.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967235.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW967194.1	ColE	0.6446	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.36)	False
OW967171.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
CP097398.1	ColE	0.9828	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP080060.1	ColE	0.6579	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
OW848956.1	ColE	0.6082	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.39)	False
OW848931.1	ColE	0.6082	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.39)	False
OW848861.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW848844.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
OW849392.1	ColE	0.6417	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
OW849391.1	ColE	0.9902	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW849287.1	ColE	0.6417	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
OW849286.1	ColE	0.9873	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW849281.1	ColE	0.6418	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
OW849280.1	ColE	0.9895	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW849254.1	ColE	0.6417	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
OW849253.1	ColE	0.9902	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OW848988.1	ColE	0.9689	14708	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
NZ_CP097202.1	ColE	0.6366	13290	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.35)	False
NZ_CP095453.1	ColE	0.514	8910	1.1.2.10.20.47	1	1	2	10	20	47	reference	IncFII(0.32)	False
CP094916.1	ColE	0.9918	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP086477.1	ColE	0.5953	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.39)	False
NZ_CP086487.1	ColE	0.6076	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.37)	False
NZ_CP086497.1	ColE	0.6376	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP086507.1	ColE	0.6396	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP086517.1	ColE	0.6415	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP060978.1	ColE	0.6399	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP092758.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	reference		False
NZ_CP092764.1	ColE	0.6008	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.40)	False
NZ_CP092770.1	ColE	0.673	13636	1.1.2.9.17.37	1	1	2	9	17	37	reference	ColRNAI(0.33)	False
CP067864.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP067860.1	ColE	0.6034	16959	1.1.2.9.17.39	1	1	2	9	17	39	reference	ColRNAI(0.40)	False
CP067807.1	ColE	0.6052	15802	1.1.2.9.17.42	1	1	2	9	17	42	reference	ColRNAI(0.39)	False
CP067702.1	ColE	0.905	9506	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP067513.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP067447.1	ColE	0.9883	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
