source_file	inc_group	organism_category	is_family	is1_pos	is2_pos	region_size	same_orientation	cargo_genes	n_cargo
CP080731.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080735.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080735.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080739.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080739.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080746.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080746.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080752.1	IncFIB	Gram-negative	IS1	96109-96876	125378-126090	28502	True	catA1,dfrA12,aadA2,sul1,mrx(A),mph(A),aph(3')-Ia	7
CP080752.1	IncFIB	Gram-negative	IS26	113095-113915	114956-115691	1041	True	aph(3')-Ia	1
CP101341.1	IncHI2	Gram-negative	IS26	120639-121458	138811-139631	17353	True	aac(3)-IVa,aph(4)-Ia,sul2,floR	4
NZ_AP018352.1	IncHI2	Gram-negative	IS1	122998-123765	166156-166923	42391	True	qnrB6	1
NZ_AP018352.1	IncHI2	Gram-negative	IS10	74617-75945	82435-83763	6490	False	tet(B)	1
NZ_AP018352.1	IncHI2	Gram-negative	IS26	205503-206322	226009-226830	19687	True	blaIMP-1,aac(6')-IIc,sul1	3
NZ_AP025641.1	IncHI2	Gram-negative	IS26	55787-56610	60899-61721	4289	True	aac(6')-Ib3	1
NZ_AP025641.1	IncHI2	Gram-negative	IS26	60899-61721	66183-67002	4462	True	blaSHV-12	1
NZ_AP025641.1	IncHI2	Gram-negative	IS26	69056-69875	112757-113578	42882	True	mcr-9.1	1
NZ_AP025641.1	IncHI2	Gram-negative	IS26	112757-113578	126169-126988	12591	True	aph(6)-Id,aph(3'')-Ib,dfrA19	3
NZ_AP025654.1	IncHI2	Gram-negative	IS26	55790-56613	60902-61724	4289	True	aac(6')-Ib3	1
NZ_AP025654.1	IncHI2	Gram-negative	IS26	60902-61724	66186-67005	4462	True	blaSHV-12	1
NZ_AP025654.1	IncHI2	Gram-negative	IS26	69059-69878	112357-113178	42479	True	mcr-9.1	1
NZ_AP025654.1	IncHI2	Gram-negative	IS26	112357-113178	125769-126588	12591	True	aph(6)-Id,aph(3'')-Ib,dfrA19	3
NZ_AP025658.1	IncF	Gram-negative	IS26	67065-67884	69929-70752	2045	True	dfrA14	1
NZ_AP025663.1	IncF	Gram-negative	IS26	67065-67884	69929-70752	2045	True	dfrA14	1
NZ_AP026526.1	IncC	Gram-negative	IS26	109604-110423	111447-112266	1024	True	aph(3')-Ia	1
NZ_CP011429.1	IncA	Gram-negative	IS26	117404-118225	123497-124318	5272	True	oqxB,oqxA	2
NZ_CP012682.1	IncA	Gram-negative	IS26	18945-19764	23870-24690	4106	True	aac(3)-IId	1
NZ_CP012682.1	IncA	Gram-negative	IS26	67566-68385	77153-77972	8768	True	sul3,aadA2,estX-3	3
NZ_CP012682.1	IncA	Gram-negative	IS26	120304-121123	126329-127149	5206	True	oqxA,oqxB	2
NZ_CP012683.1	IncF	Gram-negative	IS1	27531-28298	40918-41685	12620	True	blaCMY-2	1
NZ_CP016919.1	IncR	Gram-negative	IS26	13040-13860	18972-19795	5112	True	sul2,aph(3'')-Ib,aph(6)-Id	3
NZ_CP016921.1	IncHI1	Gram-negative	IS26	41667-42487	57043-57864	14556	True	ble,blaNDM-1,aph(3')-VI	3
NZ_CP016921.1	IncHI1	Gram-negative	IS26	208373-209192	215063-215882	5871	True	qnrB1	1
NZ_CP018886.1	IncF	Gram-negative	IS1	74425-75137	113359-114126	38222	False	aph(3')-Ia,mph(A),mrx(A),sul1	4
NZ_CP018886.1	IncF	Gram-negative	IS26	84824-85559	86600-87420	1041	True	aph(3')-Ia	1
NZ_CP026492.1	IncHI2	Gram-negative	IS26	3051-3870	4911-5730	1041	True	aph(3')-Ia	1
NZ_CP026492.1	IncHI2	Gram-negative	IS26	4911-5730	27106-27926	21376	True	mef(B),sul3,aadA1,cmlA1,aadA2,dfrA12,floR	7
NZ_CP026492.1	IncHI2	Gram-negative	IS26	29651-30470	36063-36885	5593	True	aac(6')-Ib-cr5,blaOXA-1,catB3,arr-3,sul1	5
NZ_CP026492.1	IncHI2	Gram-negative	IS26	36063-36885	57146-57792	20261	True	tet(A)	1
NZ_CP026492.1	IncHI2	Gram-negative	IS26	255205-256024	261231-262050	5207	True	oqxB,oqxA	2
NZ_CP027037.1	IncFIB	Gram-negative	IS26	55385-56205	58805-59624	2600	True	aac(3)-IIe	1
NZ_CP027037.1	IncFIB	Gram-negative	IS26	58805-59624	63395-64215	3771	True	blaCTX-M-15	1
NZ_CP027037.1	IncFIB	Gram-negative	IS26	77616-78436	79477-80212	1041	True	aph(3')-Ia	1
NZ_CP027044.1	IncFIB	Gram-negative	IS26	105660-106442	107644-108462	1202	True	aph(3')-Ia	1
NZ_CP027047.1	IncR	Gram-negative	IS26	14322-15142	19658-20478	4516	True	mph(A),mrx(A)	2
NZ_CP027047.1	IncR	Gram-negative	IS26	26108-26891	28093-28912	1202	True	aph(3')-Ia	1
NZ_CP027054.1	IncFIB	Gram-negative	IS1	26319-27086	47309-48021	20223	True	catA1,dfrA12,aadA2,sul1,mrx(A),mph(A),aph(3')-Ia	7
NZ_CP031570.1	IncAC2	Gram-negative	IS26	107158-107978	112923-113686	4945	True	blaVIM-1,aac(6')-Il,dfrA1,aadA1	4
NZ_CP031573.1	IncAC2	Gram-negative	IS26	124168-124931	129876-130696	4945	True	aadA1,dfrA1,aac(6')-Il,blaVIM-1	4
NZ_CP031575.1	IncHI2	Gram-negative	IS26	56920-57739	62201-63024	4462	True	blaSHV-12	1
NZ_CP031575.1	IncHI2	Gram-negative	IS26	204234-205055	209591-210410	4536	True	aph(6)-Id,aph(3'')-Ib	2
NZ_CP031576.1	IncAC2	Gram-negative	IS26	107171-107991	112936-113699	4945	True	blaVIM-1,aac(6')-Il,dfrA1,aadA1	4
NZ_CP031584.1	IncAC2	Gram-negative	IS26	124574-125337	130282-131102	4945	True	aadA1,dfrA1,aac(6')-Il,blaVIM-1	4
NZ_CP031610.1	IncAC2	Gram-negative	IS26	120783-121546	126491-127311	4945	True	aadA1,dfrA1,aac(6')-Il,blaVIM-1	4
NZ_CP035198.1	IncR	Gram-negative	IS26	30483-31312	33814-34633	2502	True	lnu(F),aadA2	2
NZ_CP035548.1	IncA	Gram-negative	IS26	107222-108043	113315-114135	5272	True	oqxB,oqxA	2
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	4020-4838	5879-6614	1041	True	aph(3')-Ia	1
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	197752-198571	220093-220912	21522	True	mph(A),mrx(A),sul1,aadA2,dfrA12,blaTEM-1,blaCTX-M	7
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	220093-220912	226321-227140	5409	True	blaCTX-M	1
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	226321-227140	232547-233366	5407	True	blaCTX-M-15	1
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	232547-233366	238780-239599	5414	True	blaCTX-M	1
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	238780-239599	245010-245828	5411	True	blaCTX-M-15	1
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	214888-216540	221114-222766	4574	True	blaCTX-M	1
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	221114-222766	227343-228995	4577	True	blaCTX-M	1
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	227343-228995	233569-235221	4574	True	blaCTX-M-15	1
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	233569-235221	239802-241455	4581	True	blaCTX-M	1
NZ_CP036192.1	IncAC2	Gram-negative	IS26	143120-143908	158155-158975	14247	True	blaCTX-M-15,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2	5
NZ_CP036195.1	IncX3	Gram-negative	IS26	44771-45590	58051-58871	12461	True	mph(E),msr(E),armA,sul1,aac(6')-Ib-cr5	5
NZ_CP036321.1	IncFIB	Gram-negative	IS26	14145-14964	20312-21130	5348	True	catA1	1
NZ_CP036321.1	IncFIB	Gram-negative	IS26	43248-44075	52245-53065	8170	True	blaCTX-M	1
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	199687-200422	201463-202281	1041	True	aph(3')-Ia	1
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	201463-202281	208810-209628	6529	True	tet(A)	1
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	211815-212634	218056-218874	5422	True	blaCTX-M	1
NZ_CP036337.1	IncFIBK	Gram-negative	ISEcp1	216195-217853	222434-224090	4581	True	blaCTX-M	1
NZ_CP041629.1	IncF	Gram-negative	IS1	3933-4525	14949-15716	10424	True	oqxB,oqxA,bleO	3
NZ_CP041629.1	IncF	Gram-negative	IS26	13332-14152	18544-19365	4392	True	bleO	1
NZ_CP041629.1	IncF	Gram-negative	IS26	38547-39366	40407-41226	1041	True	aph(3')-Ia	1
NZ_CP043190.1	IncAC2	Gram-negative	IS26	123005-123824	124867-125686	1043	True	aph(3')-Ia	1
NZ_CP043190.1	IncAC2	Gram-negative	IS26	124867-125686	130078-130898	4392	True	blaTEM-1	1
NZ_CP043192.1	IncAC2	Gram-negative	IS26	123005-123824	124867-125686	1043	True	aph(3')-Ia	1
NZ_CP043192.1	IncAC2	Gram-negative	IS26	124867-125686	130078-130898	4392	True	blaTEM-1	1
NZ_CP043215.1	IncAC2	Gram-negative	IS26	123005-123824	124867-125686	1043	True	aph(3')-Ia	1
NZ_CP043215.1	IncAC2	Gram-negative	IS26	124867-125686	130078-130898	4392	True	blaTEM-1	1
NZ_CP050155.1	IncF	Gram-negative	IS26	23833-24653	33702-34521	9049	True	blaIMP-4	1
NZ_CP050162.1	IncA	Gram-negative	IS26	41860-42680	60942-61762	18262	True	tet(D)	1
NZ_CP050162.1	IncA	Gram-negative	IS26	60942-61762	83841-84660	22079	True	blaNDM-1,ble,blaDHA,sul1,sul1,armA,msr(E),mph(E)	8
NZ_CP050163.1	IncHI2	Gram-negative	IS26	183990-184810	187306-188127	2496	True	fosA3	1
NZ_CP053721.1	IncHI1	Gram-negative	IS26	83579-84402	90397-91217	5995	True	floR	1
NZ_CP053721.1	IncHI1	Gram-negative	IS26	140006-140827	146948-147767	6121	True	mef(B),sul3	2
NZ_CP053721.1	IncHI1	Gram-negative	IS26	152067-152886	154290-155109	1404	True	qnrS1	1
NZ_CP053722.1	IncFIB	Gram-negative	IS26	15177-15996	19549-20369	3553	True	mrx(A),mph(A)	2
NZ_CP053722.1	IncFIB	Gram-negative	IS26	19549-20369	26966-27785	6597	True	floR	1
NZ_CP053722.1	IncFIB	Gram-negative	IS26	105091-105911	108998-109817	3087	True	blaTEM-1	1
NZ_CP053724.1	IncFIC	Gram-negative	IS26	38372-39191	40232-41054	1041	True	aph(3')-Ia	1
NZ_CP053724.1	IncFIC	Gram-negative	IS26	45951-46771	49552-50371	2781	True	lnu(F),aadA2	2
NZ_CP053724.1	IncFIC	Gram-negative	IS26	49552-50371	53077-53897	2706	True	aac(3)-IId	1
NZ_CP053728.1	IncN	Gram-negative	IS26	45277-46096	47145-47964	1049	True	aph(3')-Ia	1
NZ_CP053728.1	IncN	Gram-negative	IS26	61604-62423	64473-65292	2050	True	qnrS2	1
NZ_CP053729.1	IncFIB	Gram-negative	IS26	16129-16949	65245-66065	48296	True	blaTEM-1,mcr-3.1,bleO	3
NZ_CP053729.1	IncFIB	Gram-negative	IS26	76728-77549	81604-82423	4055	True	floR	1
NZ_CP053732.1	IncFIB	Gram-negative	IS26	61973-62796	72560-73379	9764	True	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1	4
NZ_CP053767.1	IncFIBK	Gram-negative	IS1	69765-70477	84919-85686	14442	True	catA1	1
NZ_CP054166.1	IncF	Gram-negative	IS26	23446-24266	26866-27685	2600	True	aac(3)-IIe	1
NZ_CP058945.1	IncX3	Gram-negative	IS26	33790-34609	45741-46578	11132	True	blaOXA-181	1
NZ_CP059469.1	IncHI1	Gram-negative	IS26	118793-119614	132198-133017	12584	True	blaCTX-M-15,aac(6')-Ib,blaTEM-1,tet(D)	4
NZ_CP059469.1	IncHI1	Gram-negative	IS26	140545-141364	147235-148054	5871	True	qnrB1	1
NZ_CP059470.1	IncFIBK	Gram-negative	IS1	69766-70478	84920-85687	14442	True	catA1	1
NZ_CP060423.1	IncR	Gram-negative	IS26	14697-15500	22018-22839	6518	True	arr,ere(A),aadA1,cmlA5,sul1	5
NZ_CP060423.1	IncR	Gram-negative	IS26	22018-22839	32266-33086	9427	True	blaCTX-M-15	1
NZ_CP060423.1	IncR	Gram-negative	IS26	32266-33086	45053-45873	11967	True	dfrA14	1
NZ_CP064006.1	IncHI2	Gram-negative	IS26	120883-121704	122769-123588	1065	True	aph(3')-Ia	1
NZ_CP064026.1	IncHI1	Gram-negative	IS1	45050-45817	55779-56546	9962	True	sul3,aadA1,cmlA1,aadA2,dfrA12	5
NZ_CP064026.1	IncHI1	Gram-negative	IS26	76576-77396	80174-80993	2778	True	aadA2,lnu(F)	2
NZ_CP071253.1	IncFIB	Gram-negative	IS1	64763-65475	89346-90113	23871	True	tet(D),blaSHV-1	2
NZ_CP071253.1	IncFIB	Gram-negative	IS26	73116-73936	77463-78282	3527	True	tet(D)	1
NZ_CP071253.1	IncFIB	Gram-negative	IS26	77463-78282	86280-87099	7998	True	blaSHV-1	1
NZ_CP071256.1	IncR	Gram-negative	IS26	33127-33946	34987-35807	1041	True	aph(3')-Ia	1
NZ_CP072859.1	IncF	Gram-negative	IS1	4995-5762	9118-9885	3356	False	tet(B)	1
NZ_CP072859.1	IncF	Gram-negative	IS1	9118-9885	57887-58654	48002	True	catA1,qepA4,dfrA12,aadA2,sul1,mrx(A),mph(A),erm(B)	8
NZ_CP075732.1	IncFIB	Gram-negative	IS26	102181-103001	104820-105639	1819	True	dfrA14	1
NZ_CP075732.1	IncFIB	Gram-negative	IS1	93601-94368	112890-113657	18522	False	dfrA14	1
NZ_CP076308.1	ColRNAI	Gram-negative	IS26	23571-24408	36881-37701	12473	True	blaOXA-181,qnrS1	2
NZ_CP080076.1	IncR	Gram-negative	IS1	15990-16757	62944-63711	46187	False	sul3,blaTEM-1,qnrS1	3
NZ_CP080108.1	IncHI2	Gram-negative	IS26	93128-93947	95127-95946	1180	True	dfrA8	1
NZ_CP083933.1	IncFIB	Gram-negative	IS26	14235-15056	26362-27181	11306	True	blaCTX-M-15,blaTEM-1,tet(D)	3
NZ_CP085623.1	IncHI2	Gram-negative	IS26	108037-108860	115323-116142	6463	True	floR	1
NZ_CP085623.1	IncHI2	Gram-negative	IS26	140140-140959	143740-144559	2781	True	lnu(F),aadA22	2
NZ_CP085623.1	IncHI2	Gram-negative	IS26	143740-144559	148315-149134	3756	True	aac(3)-IId	1
NZ_CP085623.1	IncHI2	Gram-negative	IS26	155131-155950	158201-159021	2251	True	dfrA14,arr-2	2
NZ_CP085623.1	IncHI2	Gram-negative	IS26	158201-159021	162574-163355	3553	True	mph(A),mrx(A)	2
NZ_CP085697.1	IncHI2	Gram-negative	IS26	93113-93932	112045-112865	18113	True	tet(A),aph(6)-Id	2
NZ_CP085697.1	IncHI2	Gram-negative	IS26	112045-112865	119328-120151	6463	True	floR	1
NZ_CP085697.1	IncHI2	Gram-negative	IS26	122554-123373	141017-141798	17644	True	blaLAP-2,blaTEM-1,blaCTX-M-55,qnrS1	4
NZ_CP085697.1	IncHI2	Gram-negative	IS26	141017-141798	145351-146171	3553	True	mrx(A),mph(A)	2
NZ_CP085697.1	IncHI2	Gram-negative	IS26	145351-146171	148422-149241	2251	True	arr-2,dfrA14	2
NZ_CP085731.1	IncC	Gram-negative	IS26	12812-13591	14632-15451	1041	True	aph(3')-Ia	1
NZ_CP085732.1	IncFIB	Gram-negative	IS26	10182-11001	14528-15347	3527	True	tet(D)	1
NZ_CP085778.1	IncHI2	Gram-negative	IS26	159795-160623	174591-175410	13968	True	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaCTX-M-15	5
NZ_CP085778.1	IncHI2	Gram-negative	IS26	174591-175410	178010-178830	2600	True	aac(3)-IIe	1
NZ_CP085778.1	IncHI2	Gram-negative	IS26	186548-187367	193224-194044	5857	True	qnrB1	1
NZ_CP085778.1	IncHI2	Gram-negative	IS26	193224-194044	201572-202391	7528	True	dfrA14	1
NZ_CP085778.1	IncHI2	Gram-negative	IS1	155307-156074	156951-157718	877	False	catA1	1
NZ_CP089990.1	IncF	Gram-negative	IS1	131732-132479	165330-166057	32851	False	blaCTX-M-14,sul1,blaDHA-1,qnrB4	4
NZ_CP090307.1	IncFIB	Gram-negative	IS30	8026-9246	40731-41951	31485	False	tet(A)	1
NZ_CP091867.1	IncC	Gram-negative	IS26	19163-19986	54271-55090	34285	True	floR,tet(A),aph(6)-Id,aph(3'')-Ib,sul2	5
NZ_CP091867.1	IncC	Gram-negative	IS26	61944-62763	63529-64348	766	True	catA2	1
NZ_CP091867.1	IncC	Gram-negative	IS26	63529-64348	68024-68843	3676	True	qnrS1	1
NZ_CP091867.1	IncC	Gram-negative	IS26	76041-76862	81463-82283	4601	True	mcr-3.1	1
NZ_CP091869.1	IncC	Gram-negative	IS26	125312-126133	129790-130611	3657	True	mcr-3.1	1
NZ_CP091869.1	IncC	Gram-negative	IS26	141893-142715	143481-144300	766	True	catA2	1
NZ_CP092492.1	IncHI2	Gram-negative	IS26	130991-131817	135717-136537	3900	True	aph(3')-Ia,aph(6)-Id,aph(3'')-Ib	3
NZ_CP092492.1	IncHI2	Gram-negative	IS26	143363-144183	172517-173336	28334	True	tet(A),dfrA12,aadA2,cmlA1,aadA1,sul3	6
NZ_CP101120.1	IncR	Gram-negative	IS26	35042-35861	70670-71489	34809	True	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1	4
NZ_CP101120.1	IncR	Gram-negative	IS26	70670-71489	85463-86209	13974	True	blaCTX-M-15,qnrB1	2
NZ_CP101120.1	IncR	Gram-negative	IS1	50386-51153	75412-76179	24259	True	blaCTX-M-15	1
NZ_CP112981.1	IncHI2	Gram-negative	IS26	41614-42437	52108-52927	9671	True	dfrA12,aadA2,sul1,ble,blaNDM-1	5
NZ_CP112981.1	IncHI2	Gram-negative	IS26	137300-138119	145647-146466	7528	True	dfrA14	1
NZ_CP112981.1	IncHI2	Gram-negative	IS26	145647-146466	154029-154848	7563	True	qnrB1	1
NZ_CP112981.1	IncHI2	Gram-negative	IS1	159940-160707	161584-162351	877	False	catA1	1
NZ_CP117035.1	IncFIC	Gram-negative	IS26	3124-3943	4984-5803	1041	True	aph(3')-Ia	1
NZ_CP122462.1	IncFIBK	Gram-negative	IS26	84638-85457	86498-87317	1041	True	aph(3')-Ia	1
NZ_CP128878.1	IncI	Gram-negative	IS10	2895-4223	10712-12040	6489	False	tet(B)	1
NZ_CP128913.1	IncF	Gram-negative	IS1	62390-63157	68747-69514	5590	False	tet(B)	1
NZ_CP128913.1	IncF	Gram-negative	IS1	68747-69514	105703-106470	36189	True	dfrA7,blaTEM-1,sul2,aph(3'')-Ib,aph(6)-Id	5
NZ_CP128917.1	IncF	Gram-negative	IS1	63872-64639	84767-85534	20128	False	sul2,aph(3'')-Ib,aph(6)-Id,mrx(A),mph(A)	5
NZ_CP128917.1	IncF	Gram-negative	IS1	84767-85534	86516-87283	982	False	catA1	1
NZ_CP128917.1	IncF	Gram-negative	IS26	75930-76749	80300-81120	3551	True	mrx(A),mph(A)	2
NZ_CP128927.1	IncHI1	Gram-negative	IS1	20585-21352	54948-55715	33596	True	tet(A)	1
NZ_CP128932.1	IncHI2	Gram-negative	IS1	88541-89308	105369-106136	16061	False	aph(3')-Ia	1
NZ_CP128932.1	IncHI2	Gram-negative	IS26	95393-96212	97253-98072	1041	True	aph(3')-Ia	1
