source_file	inc_group	organism_category	is_family	pident	align_length	ref_length	coverage	q_start	q_end	strand	evalue	bitscore	plasmid_length
NZ_CP032491.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	2433	3252	-	0.0	1480.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.635	823	859	0.958	113748	114570	-	0.0	1471.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	91160	91979	-	0.0	1466.0	164229
NZ_CP032496.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	19199	20022	+	0.0	1482.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	-	0.0	1480.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	99.161	834	859	0.971	55472	56305	-	0.0	1470.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	99.551	668	859	0.778	54818	55485	-	0.0	1192.0	90607
NZ_CP035548.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	57825	59480	+	0.0	2987.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	19199	20022	+	0.0	1482.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	-	0.0	1480.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.757	822	859	0.957	107222	108043	+	0.0	1474.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	118796	119615	-	0.0	1471.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	113315	114135	+	0.0	1468.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	85682	86501	-	0.0	1466.0	153015
NZ_CP050162.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	41860	42680	+	0.0	1481.0	116808
NZ_CP050162.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	60942	61762	+	0.0	1481.0	116808
NZ_CP050162.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	83841	84660	+	0.0	1471.0	116808
NZ_CP050164.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	55198	56853	+	0.0	2987.0	137593
NZ_CP050164.1	IncA	Gram-negative	IS1	87.891	768	768	1.0	105975	106742	+	0.0	966.0	137593
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	822	859	0.957	99741	100562	-	0.0	1483.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	99.284	838	859	0.976	67256	68093	+	0.0	1481.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	103922	104742	+	0.0	1481.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	79495	80314	-	0.0	1480.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	86855	87674	+	0.0	1480.0	162608
NZ_CP059480.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	97269	98092	-	0.0	1482.0	165722
NZ_CP059480.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	85952	86771	+	0.0	1480.0	165722
NZ_CP104451.1	IncA	Gram-negative	IS26	99.878	823	859	0.958	1240	2062	+	0.0	1480.0	148888
NZ_CP104451.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	134391	135210	+	0.0	1480.0	148888
NZ_CP150624.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	109967	110787	-	0.0	1481.0	145395
NZ_CP150624.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	120915	121734	-	0.0	1480.0	145395
NZ_MH594477.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	138080	138899	-	0.0	1480.0	145294
CP035908.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	128197	129017	-	0.0	1477.0	163186
CP035908.1	IncAC2	Gram-negative	IS26	99.748	793	859	0.923	115040	115831	-	0.0	1418.0	163186
CP035908.1	IncAC2	Gram-negative	IS1	93.099	768	768	1.0	55124	55891	+	0.0	1147.0	163186
NZ_CP027038.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	125140	125963	-	0.0	1482.0	155161
NZ_CP027038.1	IncAC2	Gram-negative	IS26	100.0	760	859	0.885	154402	155161	+	0.0	1371.0	155161
NZ_CP027043.1	IncAC2	Gram-negative	IS26	99.4	834	859	0.971	154927	155760	-	0.0	1482.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	185906	186729	+	0.0	1482.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	138831	139651	+	0.0	1481.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	119038	119857	-	0.0	1480.0	192771
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.4	834	859	0.971	156113	156946	+	0.0	1482.0	175636
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	125144	125967	-	0.0	1482.0	175636
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	172222	173042	-	0.0	1477.0	175636
NZ_CP030132.1	IncAC2	Gram-negative	ISEcp1	100.0	1636	1656	0.988	192546	194181	-	0.0	2951.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	120937	121757	+	0.0	1481.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	61727	62546	-	0.0	1480.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	99.878	820	859	0.955	36759	37578	+	0.0	1475.0	194181
NZ_CP031570.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	107158	107978	+	0.0	1477.0	158968
NZ_CP031570.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	112923	113686	+	0.0	1379.0	158968
NZ_CP031570.1	IncAC2	Gram-negative	IS1	100.0	768	768	1.0	112155	112922	-	0.0	1386.0	158968
NZ_CP031573.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	129876	130696	-	0.0	1481.0	164095
NZ_CP031573.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	124168	124931	-	0.0	1379.0	164095
NZ_CP031573.1	IncAC2	Gram-negative	IS1	100.0	768	768	1.0	124932	125699	+	0.0	1386.0	164095
NZ_CP031576.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	107171	107991	+	0.0	1477.0	160309
NZ_CP031576.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	112936	113699	+	0.0	1379.0	160309
NZ_CP031576.1	IncAC2	Gram-negative	IS1	100.0	768	768	1.0	112168	112935	-	0.0	1386.0	160309
NZ_CP031584.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130282	131102	-	0.0	1481.0	164082
NZ_CP031584.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	124574	125337	-	0.0	1379.0	164082
NZ_CP031584.1	IncAC2	Gram-negative	IS1	100.0	768	768	1.0	125338	126105	+	0.0	1386.0	164082
NZ_CP031610.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	126491	127311	-	0.0	1477.0	160292
NZ_CP031610.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	120783	121546	-	0.0	1379.0	160292
NZ_CP031610.1	IncAC2	Gram-negative	IS1	100.0	768	768	1.0	121547	122314	+	0.0	1386.0	160292
NZ_CP036192.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	148049	149704	-	0.0	2987.0	165052
NZ_CP036192.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	158155	158975	-	0.0	1477.0	165052
NZ_CP036192.1	IncAC2	Gram-negative	IS26	99.243	793	859	0.923	143120	143908	-	0.0	1398.0	165052
NZ_CP036192.1	IncAC2	Gram-negative	IS1	93.099	768	768	1.0	83213	83980	+	0.0	1147.0	165052
NZ_CP043190.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	-	0.0	2987.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	-	0.0	1482.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130078	130898	-	0.0	1481.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	-	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	-	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	+	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	-	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	-	0.0	2987.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	-	0.0	1482.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130078	130898	-	0.0	1481.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	-	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	-	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	+	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	-	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	-	0.0	2987.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	-	0.0	1482.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	-	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	-	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	+	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	-	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	99.635	821	859	0.956	130078	130898	-	0.0	1468.0	165649
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	116652	117472	-	0.0	1481.0	166530
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	109604	110423	+	0.0	1480.0	166530
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	111447	112266	+	0.0	1480.0	166530
NZ_CP040024.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29747	30566	+	0.0	1480.0	155920
NZ_CP040029.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29756	30575	+	0.0	1480.0	176345
NZ_CP040029.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	52813	53632	-	0.0	1480.0	176345
NZ_CP040034.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29756	30575	+	0.0	1480.0	176345
NZ_CP040034.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	52813	53632	-	0.0	1480.0	176345
NZ_CP040039.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	50729	51548	+	0.0	1480.0	151220
NZ_CP070541.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	26834	27654	+	0.0	1481.0	47716
NZ_CP070541.1	IncC	Gram-negative	IS1	99.609	768	768	1.0	34025	34792	+	0.0	1372.0	47716
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	822	859	0.957	1815	2636	-	0.0	1483.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	89818	90638	+	0.0	1481.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	3880	4699	+	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	152056	152875	-	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	88294	89113	-	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	80015	80834	+	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS1	99.609	768	768	1.0	162782	163549	-	0.0	1372.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS1	99.609	768	768	1.0	29785	30552	+	0.0	1372.0	168105
NZ_CP070578.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	79190	80009	+	0.0	1480.0	102009
NZ_CP070578.1	IncC	Gram-negative	IS1	99.609	768	768	1.0	24304	25071	+	0.0	1372.0	102009
NZ_CP070596.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	25246	26065	+	0.0	1480.0	102008
NZ_CP070596.1	IncC	Gram-negative	IS1	99.609	768	768	1.0	71063	71830	+	0.0	1372.0	102008
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	20917	21736	+	0.0	1480.0	170174
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	14632	15451	-	0.0	1480.0	170174
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	780	859	0.908	12812	13591	-	0.0	1407.0	170174
NZ_CP085731.1	IncC	Gram-negative	IS1	87.752	743	768	0.967	169432	170174	+	0.0	930.0	170174
NZ_CP091867.1	IncC	Gram-negative	IS26	99.757	824	859	0.959	19163	19986	+	0.0	1478.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.878	820	859	0.955	61944	62763	+	0.0	1475.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	76041	76862	-	0.0	1470.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.515	824	859	0.959	70457	71280	-	0.0	1469.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.635	821	859	0.956	81463	82283	-	0.0	1468.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.514	823	859	0.958	137806	138628	-	0.0	1467.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.514	823	859	0.958	73358	74180	+	0.0	1467.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	144143	144962	-	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	134706	135525	-	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	54271	55090	+	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	63529	64348	+	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	68024	68843	+	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	86991	87810	+	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	89379	90198	-	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	149610	150429	+	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	17919	18738	-	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS1	99.452	730	768	0.951	139820	140549	-	0.0	1299.0	180872
NZ_CP091869.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	17919	18738	-	0.0	1480.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.636	824	859	0.959	19163	19986	+	0.0	1473.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.756	820	859	0.955	143481	144300	-	0.0	1471.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	151094	151915	-	0.0	1470.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	132893	133714	-	0.0	1470.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	125312	126133	+	0.0	1470.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	129790	130611	+	0.0	1470.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.514	823	859	0.958	141893	142715	-	0.0	1467.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	64024	64843	+	0.0	1466.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	70276	71095	+	0.0	1466.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	58557	59376	-	0.0	1466.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	139460	140279	+	0.0	1466.0	180031
NZ_CP091869.1	IncC	Gram-negative	IS1	99.452	730	768	0.951	68437	69166	+	0.0	1299.0	180031
NZ_CP135682.1	IncC	Gram-negative	ISEcp1	100.0	1656	1656	1.0	57825	59480	+	0.0	2987.0	107043
