source_file	inc_group	organism_category	is_family	pident	align_length	ref_length	coverage	q_start	q_end	s_start	s_end	evalue	bitscore	plasmid_length
CP080687.1	ColRNAI	Gram-negative	IS26	99.857	699	859	0.814	1	699	146	844	0.0	1257.0	13841
CP080692.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	3611	4433	22	844	0.0	1480.0	13841
CP080696.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	773	1595	844	22	0.0	1480.0	13841
CP080701.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5290	6112	22	844	0.0	1480.0	13841
CP080706.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	22	844	0.0	1480.0	13841
CP080710.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	4827	5649	844	22	0.0	1480.0	13841
CP080715.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	22	844	0.0	1480.0	13841
CP080721.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	4827	5649	844	22	0.0	1480.0	13841
CP080725.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	773	1595	844	22	0.0	1480.0	13841
CP080729.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8881	9703	844	22	0.0	1480.0	13841
CP080733.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	3148	3970	844	22	0.0	1480.0	13841
CP080737.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8881	9703	844	22	0.0	1480.0	13841
CP080743.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9344	10166	22	844	0.0	1480.0	13841
CP080749.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	12935	13757	844	22	0.0	1480.0	13841
NZ_AP024752.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024755.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024759.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	23753
NZ_AP024762.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024765.1	ColRNAI	Gram-negative	IS26	100.0	821	859	0.956	9931	10751	22	842	0.0	1481.0	12692
NZ_AP024768.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024771.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024774.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024777.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	19843	20665	22	844	0.0	1480.0	23753
NZ_AP024780.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	19843	20665	22	844	0.0	1480.0	23753
NZ_AP024783.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024787.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024791.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024794.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_AP024797.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	22	844	0.0	1480.0	13841
NZ_CP027052.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8332	9154	844	22	0.0	1480.0	13841
NZ_CP027058.1	ColRNAI	Gram-negative	IS26	99.393	824	859	0.959	11760	12580	844	22	0.0	1450.0	13841
NZ_CP070526.1	ColRNAI	Gram-negative	IS26	99.879	825	859	0.96	919	1743	843	19	0.0	1484.0	10122
NZ_CP070563.1	ColRNAI	Gram-negative	IS26	99.757	823	859	0.958	12181	13003	844	22	0.0	1476.0	13637
NZ_CP076308.1	ColRNAI	Gram-negative	IS26	99.284	838	859	0.976	23571	24408	841	5	0.0	1481.0	51468
NZ_CP076308.1	ColRNAI	Gram-negative	IS26	100.0	821	859	0.956	36881	37701	842	22	0.0	1481.0	51468
CP071789.1	IncA	Gram-negative	IS1	80.584	4074	5747	0.709	236316	240344	4942	928	0.0	3758.0	240758
CP071789.1	IncA	Gram-negative	IS26	99.521	835	859	0.972	55456	56290	843	9	0.0	1489.0	240758
CP071789.1	IncA	Gram-negative	IS26	99.759	829	859	0.965	211084	211912	843	15	0.0	1487.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	822	859	0.957	208454	209275	843	22	0.0	1483.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	34292	35111	22	841	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	37237	38056	22	841	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	44391	45210	22	841	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS26	99.823	564	859	0.657	38057	38620	582	19	0.0	1013.0	240758
CP071789.1	IncA	Gram-negative	IS5	82.013	1262	1258	1.003	189070	190313	1	1258	0.0	1237.0	240758
NC_021667.1	IncA	Gram-negative	IS1	99.792	4800	5747	0.835	165778	170576	5747	950	0.0	8601.0	171925
NC_021667.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	89133	90788	1	1656	0.0	2987.0	171925
NC_021667.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	143281	144100	22	841	0.0	1480.0	171925
NC_021667.1	IncA	Gram-negative	IS26	100.0	819	859	0.953	45916	46734	841	23	0.0	1478.0	171925
NZ_CP011429.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	56989	58644	1	1656	0.0	2987.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	105831	107051	1221	1	0.0	2194.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	20337	21157	22	842	0.0	1481.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	19093	19912	841	22	0.0	1480.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.757	822	859	0.957	117404	118225	22	843	0.0	1474.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	128806	129625	841	22	0.0	1471.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	84825	85644	841	22	0.0	1466.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.027	822	859	0.957	123497	124318	22	839	0.0	1437.0	156323
NZ_CP012682.1	IncA	Gram-negative	IS1	99.854	4799	5747	0.835	61561	66359	950	5747	0.0	8620.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	44876	46096	1221	1	0.0	2194.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	112767	113590	845	22	0.0	1482.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	67566	68385	22	841	0.0	1480.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	114015	114834	22	841	0.0	1480.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	18945	19764	841	22	0.0	1471.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	126329	127149	841	21	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	13631	14451	22	842	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	23870	24690	842	22	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	120304	121123	841	22	0.0	1466.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	77153	77972	22	841	0.0	1466.0	161461
NZ_CP032491.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	42303	43958	1	1656	0.0	2987.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	112166	113386	1221	1	0.0	2194.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	3677	4500	22	845	0.0	1482.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	2433	3252	841	22	0.0	1480.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.635	823	859	0.958	113748	114570	843	21	0.0	1471.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	91160	91979	841	22	0.0	1466.0	164229
NZ_CP032496.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	19199	20022	22	845	0.0	1482.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	841	22	0.0	1480.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	99.161	834	859	0.971	55472	56305	854	22	0.0	1470.0	90607
NZ_CP032496.1	IncA	Gram-negative	IS26	99.551	668	859	0.778	54818	55485	841	174	0.0	1192.0	90607
NZ_CP035548.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	57825	59480	1	1656	0.0	2987.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	19199	20022	22	845	0.0	1482.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	841	22	0.0	1480.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.757	822	859	0.957	107222	108043	22	843	0.0	1474.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	118796	119615	841	22	0.0	1471.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	113315	114135	22	842	0.0	1468.0	153015
NZ_CP035548.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	85682	86501	841	22	0.0	1466.0	153015
NZ_CP050162.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	41860	42680	21	841	0.0	1481.0	116808
NZ_CP050162.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	60942	61762	22	842	0.0	1481.0	116808
NZ_CP050162.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	83841	84660	22	841	0.0	1471.0	116808
NZ_CP050164.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	55198	56853	1	1656	0.0	2987.0	137593
NZ_CP058224.1	IncA	Gram-negative	IS1	81.086	3701	5747	0.644	80315	83958	4585	923	0.0	3501.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	822	859	0.957	99741	100562	843	22	0.0	1483.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	99.284	838	859	0.976	67256	68093	5	841	0.0	1481.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	103922	104742	22	842	0.0	1481.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	79495	80314	841	22	0.0	1480.0	162608
NZ_CP058224.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	86855	87674	22	841	0.0	1480.0	162608
NZ_CP059480.1	IncA	Gram-negative	IS1	81.086	3701	5747	0.644	82308	85951	923	4585	0.0	3501.0	165722
NZ_CP059480.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	97269	98092	845	22	0.0	1482.0	165722
NZ_CP059480.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	85952	86771	22	841	0.0	1480.0	165722
NZ_CP104451.1	IncA	Gram-negative	IS1	81.086	3701	5747	0.644	130747	134390	923	4585	0.0	3501.0	148888
NZ_CP104451.1	IncA	Gram-negative	IS26	99.878	823	859	0.958	1240	2062	19	841	0.0	1480.0	148888
NZ_CP104451.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	134391	135210	22	841	0.0	1480.0	148888
NZ_CP104451.1	IncA	Gram-negative	IS26	100.0	561	859	0.653	2063	2623	582	22	0.0	1012.0	148888
NZ_CP150624.1	IncA	Gram-negative	IS1	81.086	3701	5747	0.644	121735	125378	4585	923	0.0	3501.0	145395
NZ_CP150624.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	109967	110787	842	22	0.0	1481.0	145395
NZ_CP150624.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	120915	121734	841	22	0.0	1480.0	145395
NZ_MH594477.1	IncA	Gram-negative	IS1	81.086	3701	5747	0.644	138900	142543	4585	923	0.0	3501.0	145294
NZ_MH594477.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	138080	138899	841	22	0.0	1480.0	145294
CP035908.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	128197	129017	842	22	0.0	1477.0	163186
CP035908.1	IncAC2	Gram-negative	IS26	99.748	793	859	0.923	115040	115831	841	49	0.0	1418.0	163186
NZ_CP027038.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	125140	125963	845	22	0.0	1482.0	155161
NZ_CP027038.1	IncAC2	Gram-negative	IS26	100.0	760	859	0.885	154402	155161	22	781	0.0	1371.0	155161
NZ_CP027038.1	IncAC2	Gram-negative	IS26	99.819	552	859	0.643	148104	148655	573	22	0.0	992.0	155161
NZ_CP027043.1	IncAC2	Gram-negative	IS26	99.4	834	859	0.971	154927	155760	842	9	0.0	1482.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	185906	186729	22	845	0.0	1482.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	138831	139651	22	842	0.0	1481.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	119038	119857	841	22	0.0	1480.0	192771
NZ_CP027043.1	IncAC2	Gram-negative	IS26	99.819	552	859	0.643	147034	147585	573	22	0.0	992.0	192771
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.4	834	859	0.971	156113	156946	9	842	0.0	1482.0	175636
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	125144	125967	845	22	0.0	1482.0	175636
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	172222	173042	842	22	0.0	1477.0	175636
NZ_CP027055.1	IncAC2	Gram-negative	IS26	99.819	552	859	0.643	164288	164839	22	573	0.0	992.0	175636
NZ_CP030132.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	138903	143701	5747	950	0.0	8615.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	ISEcp1	100.0	1636	1656	0.988	192546	194181	1656	21	0.0	2951.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	ISEcp1	100.0	1109	1656	0.67	96289	97397	1109	1	0.0	2001.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	120937	121757	21	841	0.0	1481.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	61727	62546	841	22	0.0	1480.0	194181
NZ_CP030132.1	IncAC2	Gram-negative	IS26	99.878	820	859	0.955	36759	37578	22	841	0.0	1475.0	194181
NZ_CP031570.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	101153	105951	950	5747	0.0	8615.0	158968
NZ_CP031570.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	107158	107978	22	842	0.0	1477.0	158968
NZ_CP031570.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	112923	113686	79	842	0.0	1379.0	158968
NZ_CP031573.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	131903	136701	5747	950	0.0	8615.0	164095
NZ_CP031573.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	129876	130696	842	22	0.0	1481.0	164095
NZ_CP031573.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	124168	124931	842	79	0.0	1379.0	164095
NZ_CP031576.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	101166	105964	950	5747	0.0	8615.0	160309
NZ_CP031576.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	107171	107991	22	842	0.0	1477.0	160309
NZ_CP031576.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	112936	113699	79	842	0.0	1379.0	160309
NZ_CP031584.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	132309	137107	5747	950	0.0	8615.0	164082
NZ_CP031584.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130282	131102	842	22	0.0	1481.0	164082
NZ_CP031584.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	124574	125337	842	79	0.0	1379.0	164082
NZ_CP031610.1	IncAC2	Gram-negative	IS1	99.833	4799	5747	0.835	128518	133316	5747	950	0.0	8615.0	160292
NZ_CP031610.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	126491	127311	842	22	0.0	1477.0	160292
NZ_CP031610.1	IncAC2	Gram-negative	IS26	100.0	764	859	0.889	120783	121546	842	79	0.0	1379.0	160292
NZ_CP036192.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	148049	149704	1656	1	0.0	2987.0	165052
NZ_CP036192.1	IncAC2	Gram-negative	IS26	99.878	821	859	0.956	158155	158975	842	22	0.0	1477.0	165052
NZ_CP036192.1	IncAC2	Gram-negative	IS26	99.243	793	859	0.923	143120	143908	841	49	0.0	1398.0	165052
NZ_CP043190.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	1656	1	0.0	2987.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	845	22	0.0	1482.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130078	130898	842	22	0.0	1481.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	841	22	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	841	22	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	22	841	0.0	1480.0	165649
NZ_CP043190.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	841	22	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	1656	1	0.0	2987.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	845	22	0.0	1482.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	821	859	0.956	130078	130898	842	22	0.0	1481.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	841	22	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	841	22	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	22	841	0.0	1480.0	165649
NZ_CP043192.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	841	22	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	ISEcp1	100.0	1656	1656	1.0	50918	52573	1656	1	0.0	2987.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	99.879	824	859	0.959	90376	91199	845	22	0.0	1482.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	124867	125686	841	22	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	123005	123824	841	22	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	91624	92443	22	841	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	100.0	820	859	0.955	17955	18774	841	22	0.0	1480.0	165649
NZ_CP043215.1	IncAC2	Gram-negative	IS26	99.635	821	859	0.956	130078	130898	842	22	0.0	1468.0	165649
NZ_AP026526.1	IncC	Gram-negative	IS1	91.492	4866	5747	0.847	133512	138351	5747	929	0.0	6894.0	166530
NZ_AP026526.1	IncC	Gram-negative	ISEcp1	99.816	1087	1656	0.656	140642	141728	1	1087	0.0	1952.0	166530
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	116652	117472	842	22	0.0	1481.0	166530
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	109604	110423	22	841	0.0	1480.0	166530
NZ_AP026526.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	111447	112266	22	841	0.0	1480.0	166530
NZ_CP040024.1	IncC	Gram-negative	ISEcp1	100.0	1109	1656	0.67	130240	131348	1	1109	0.0	2001.0	155920
NZ_CP040024.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29747	30566	22	841	0.0	1480.0	155920
NZ_CP040029.1	IncC	Gram-negative	ISEcp1	100.0	1109	1656	0.67	150656	151764	1	1109	0.0	2001.0	176345
NZ_CP040029.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29756	30575	22	841	0.0	1480.0	176345
NZ_CP040029.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	52813	53632	841	22	0.0	1480.0	176345
NZ_CP040034.1	IncC	Gram-negative	ISEcp1	100.0	1109	1656	0.67	150656	151764	1	1109	0.0	2001.0	176345
NZ_CP040034.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	29756	30575	22	841	0.0	1480.0	176345
NZ_CP040034.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	52813	53632	841	22	0.0	1480.0	176345
NZ_CP040039.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	50729	51548	22	841	0.0	1480.0	151220
NZ_CP070541.1	IncC	Gram-negative	IS10	99.755	2044	4029	0.507	35187	37227	1	2042	0.0	3655.0	47716
NZ_CP070541.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	26834	27654	22	842	0.0	1481.0	47716
NZ_CP070557.1	IncC	Gram-negative	IS10	99.755	2044	4029	0.507	30947	32987	1	2042	0.0	3655.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	822	859	0.957	1815	2636	842	21	0.0	1483.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	821	859	0.956	89818	90638	22	842	0.0	1481.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	3880	4699	22	841	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	152056	152875	841	22	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	88294	89113	841	22	0.0	1480.0	168105
NZ_CP070557.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	80015	80834	22	841	0.0	1480.0	168105
NZ_CP070578.1	IncC	Gram-negative	IS10	99.755	2044	4029	0.507	25466	27506	1	2042	0.0	3655.0	102009
NZ_CP070578.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	79190	80009	22	841	0.0	1480.0	102009
NZ_CP070596.1	IncC	Gram-negative	IS10	99.755	2044	4029	0.507	72225	74265	1	2042	0.0	3655.0	102008
NZ_CP070596.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	25246	26065	22	841	0.0	1480.0	102008
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	20917	21736	22	841	0.0	1480.0	170174
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	820	859	0.955	14632	15451	841	22	0.0	1480.0	170174
NZ_CP085731.1	IncC	Gram-negative	IS26	100.0	780	859	0.908	12812	13591	801	22	0.0	1407.0	170174
NZ_CP091867.1	IncC	Gram-negative	IS26	99.757	824	859	0.959	19163	19986	22	845	0.0	1478.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.878	820	859	0.955	61944	62763	22	841	0.0	1475.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.635	822	859	0.957	76041	76862	843	22	0.0	1470.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.515	824	859	0.959	70457	71280	844	21	0.0	1469.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.635	821	859	0.956	81463	82283	842	22	0.0	1468.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.514	823	859	0.958	137806	138628	844	22	0.0	1467.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.514	823	859	0.958	73358	74180	22	844	0.0	1467.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	144143	144962	841	22	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	134706	135525	841	22	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	54271	55090	22	841	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	63529	64348	22	841	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	68024	68843	22	841	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	86991	87810	22	841	0.0	1466.0	180872
NZ_CP091867.1	IncC	Gram-negative	IS26	99.634	820	859	0.955	89379	90198	841	22	0.0	1466.0	180872
