source_file	inc_group	organism_category	is_family	is1_start	is1_end	is2_start	is2_end	cargo_genes	n_cargo_genes	region_size
CP080671.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080675.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080679.1	IncFIB	Gram-negative	IS26	75161	75896	76937	77757	aph(3')-Ia	1	1041
CP080685.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080689.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080690.1	IncFIB	Gram-negative	IS26	71382	72201	74901	75337	blaOXA,blaTEM-1	2	2700
CP080694.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080698.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080699.1	IncFIB	Gram-negative	IS26	33755	34191	36891	37710	blaTEM-1,blaOXA	2	2700
CP080708.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080713.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080717.1	IncFIB	Gram-negative	IS26	75163	75898	76939	77759	aph(3')-Ia	1	1041
CP080723.1	IncFIB	Gram-negative	IS26	75161	75896	76937	77757	aph(3')-Ia	1	1041
CP080727.1	IncFIB	Gram-negative	IS26	75161	75896	76937	77757	aph(3')-Ia	1	1041
CP080731.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080735.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080739.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080746.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080752.1	IncFIB	Gram-negative	IS26	113095	113915	114956	115691	aph(3')-Ia	1	1041
CP101341.1	IncHI2	Gram-negative	IS26	115106	115928	120639	121458	sul1,arr-3,catB3,blaOXA-1,aac(6')-Ib-cr5	5	4711
CP101341.1	IncHI2	Gram-negative	IS26	120639	121458	138811	139631	aac(3)-IVa,aph(4)-Ia,sul2,floR	4	17353
CP101341.1	IncHI2	Gram-negative	IS26	138811	139631	142001	142821	blaTEM-1,rmtB1	2	2370
CP101341.1	IncHI2	Gram-negative	IS26	142001	142821	144343	145162	bleO	1	1522
NZ_AP025658.1	IncF	Gram-negative	IS26	67065	67884	69929	70752	dfrA14	1	2045
NZ_AP025663.1	IncF	Gram-negative	IS26	67065	67884	69929	70752	dfrA14	1	2045
NZ_CP016810.1	IncFIB	Gram-negative	IS26	70673	71496	80338	81157	aph(6)-Id,aph(3'')-Ib,sul2	3	8842
NZ_CP016810.1	IncFIB	Gram-negative	IS26	82984	83805	84589	85408	aac(6')-Ib-cr5	1	784
NZ_CP016810.1	IncFIB	Gram-negative	IS26	95761	96518	111489	112308	dfrA14	1	14971
NZ_CP016812.1	IncR	Gram-negative	IS26	16278	17098	31821	32646	catA1,ere(A),arr-2	3	14723
NZ_CP016812.1	IncR	Gram-negative	IS26	43746	44565	62616	63436	tet(A)	1	18051
NZ_CP018886.1	IncF	Gram-negative	IS26	84824	85559	86600	87420	aph(3')-Ia	1	1041
NZ_CP026492.1	IncHI2	Gram-negative	IS26	3051	3870	4911	5730	aph(3')-Ia	1	1041
NZ_CP026492.1	IncHI2	Gram-negative	IS26	4911	5730	27106	27926	mef(B),sul3,aadA1,cmlA1,aadA2,dfrA12,floR	7	21376
NZ_CP026492.1	IncHI2	Gram-negative	IS26	27106	27926	29651	30470	qnrS2	1	1725
NZ_CP026492.1	IncHI2	Gram-negative	IS26	29651	30470	36063	36885	aac(6')-Ib-cr5,blaOXA-1,catB3,arr-3,sul1	5	5593
NZ_CP026492.1	IncHI2	Gram-negative	IS26	36063	36885	57146	57792	tet(A)	1	20261
NZ_CP026492.1	IncHI2	Gram-negative	IS26	57146	57792	62906	63725	tet(M)	1	5114
NZ_CP026492.1	IncHI2	Gram-negative	IS26	67430	68250	72411	73019	mph(A),mrx(A)	2	4161
NZ_CP026492.1	IncHI2	Gram-negative	IS26	73020	73839	255205	256024	mcr-1.1	1	181366
NZ_CP026492.1	IncHI2	Gram-negative	IS26	255205	256024	261231	262050	oqxB,oqxA	2	5207
NZ_CP026492.1	IncHI2	Gram-negative	IS26	261231	262050	263572	264344	bleO	1	1522
NZ_CP027037.1	IncFIB	Gram-negative	IS26	52379	53198	55385	56205	aac(6')-Ib-cr5,blaOXA-1,catB3	3	2187
NZ_CP027037.1	IncFIB	Gram-negative	IS26	55385	56205	58805	59624	aac(3)-IIe	1	2600
NZ_CP027037.1	IncFIB	Gram-negative	IS26	58805	59624	63395	64215	blaCTX-M-15	1	3771
NZ_CP027037.1	IncFIB	Gram-negative	IS26	66053	66872	77616	78436	dfrA12,aadA2,sul1,mrx(A),mph(A)	5	10744
NZ_CP027037.1	IncFIB	Gram-negative	IS26	77616	78436	79477	80212	aph(3')-Ia	1	1041
NZ_CP027044.1	IncFIB	Gram-negative	IS26	49775	50593	105660	106442	dfrA14	1	55067
NZ_CP027044.1	IncFIB	Gram-negative	IS26	105660	106442	107644	108462	aph(3')-Ia	1	1202
NZ_CP027044.1	IncFIB	Gram-negative	IS26	107644	108462	112364	113126	dfrA1,aadA1	2	3902
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	4020	4838	5879	6614	aph(3')-Ia	1	1041
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	197752	198571	220093	220912	mph(A),mrx(A),sul1,aadA2,dfrA12,blaTEM-1,blaCTX-M	7	21522
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	220093	220912	226321	227140	blaCTX-M	1	5409
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	226321	227140	232547	233366	blaCTX-M-15	1	5407
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	232547	233366	238780	239599	blaCTX-M	1	5414
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	238780	239599	245010	245828	blaCTX-M-15	1	5411
NZ_CP036188.1	IncFIBK	Gram-negative	IS26	245010	245828	248015	248834	aac(6')-Ib-cr5,blaOXA-1,catB3	3	2187
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	214888	216540	221114	222766	blaCTX-M	1	4574
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	221114	222766	227343	228995	blaCTX-M	1	4577
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	227343	228995	233569	235221	blaCTX-M-15	1	4574
NZ_CP036188.1	IncFIBK	Gram-negative	ISEcp1	233569	235221	239802	241455	blaCTX-M	1	4581
NZ_CP036321.1	IncFIB	Gram-negative	IS26	14145	14964	20312	21130	catA1	1	5348
NZ_CP036321.1	IncFIB	Gram-negative	IS26	20312	21130	32502	33319	blaTEM-1,qnrS1	2	11372
NZ_CP036321.1	IncFIB	Gram-negative	IS26	32502	33319	43248	44075	arr-2,aac(6')-Ib,rmtF,catB	4	9929
NZ_CP036321.1	IncFIB	Gram-negative	IS26	43248	44075	52245	53065	blaCTX-M	1	8170
NZ_CP036328.1	IncFIB	Gram-negative	IS26	39059	39879	60413	61232	catA1,dfrA12,aadA2,sul1,mph(A)	5	20534
NZ_CP036328.1	IncFIB	Gram-negative	IS26	60413	61232	80922	81741	catB,rmtF1,aac(6')-Ib,arr-2	4	19690
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	199687	200422	201463	202281	aph(3')-Ia	1	1041
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	201463	202281	208810	209628	tet(A)	1	6529
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	208810	209628	211815	212634	catB3,blaOXA-1,aac(6')-Ib-cr5	3	2187
NZ_CP036337.1	IncFIBK	Gram-negative	IS26	211815	212634	218056	218874	blaCTX-M	1	5422
NZ_CP036337.1	IncFIBK	Gram-negative	ISEcp1	216195	217853	222434	224090	blaCTX-M	1	4581
NZ_CP050155.1	IncF	Gram-negative	IS26	23833	24653	33702	34521	blaIMP-4	1	9049
NZ_CP050155.1	IncF	Gram-negative	IS26	35465	36285	46309	47132	sul2,aph(3'')-Ib,aph(6)-Id	3	10024
NZ_CP050168.1	IncFIB	Gram-negative	IS26	24581	25017	27717	28536	blaTEM-1,blaOXA	2	2700
NZ_CP053728.1	IncN	Gram-negative	IS26	31646	32469	45277	46096	tet(A)	1	12808
NZ_CP053728.1	IncN	Gram-negative	IS26	45277	46096	47145	47964	aph(3')-Ia	1	1049
NZ_CP053728.1	IncN	Gram-negative	IS26	61604	62423	64473	65292	qnrS2	1	2050
NZ_CP053729.1	IncFIB	Gram-negative	IS26	16129	16949	65245	66065	blaTEM-1,mcr-3.1,bleO	3	48296
NZ_CP053729.1	IncFIB	Gram-negative	IS26	65245	66065	73031	73852	aadA22,aac(3)-VIa	2	6966
NZ_CP053729.1	IncFIB	Gram-negative	IS26	76728	77549	81604	82423	floR	1	4055
NZ_CP054165.1	IncF	Gram-negative	IS26	2902	3721	6430	7249	arr,catB3,blaOXA-1,aac(6')-Ib-cr5	4	2709
NZ_CP054165.1	IncF	Gram-negative	IS26	6430	7249	13034	13854	dfrA17,aadA5,sul1	3	5785
NZ_CP054166.1	IncF	Gram-negative	IS26	23446	24266	26866	27685	aac(3)-IIe	1	2600
NZ_CP054166.1	IncF	Gram-negative	IS26	26866	27685	31744	32563	blaCTX-M-15	1	4059
NZ_CP054166.1	IncF	Gram-negative	IS26	31744	32563	34750	35569	catB3,blaOXA-1,aac(6')-Ib-cr5	3	2187
NZ_CP067047.1	IncFIB	Gram-negative	IS26	49671	50494	61445	62265	arr-2,aac(6')-Ib,rmtF1,catB	4	10951
NZ_CP072859.1	IncF	Gram-negative	IS26	33634	34454	38522	39341	erm(B)	1	4068
NZ_CP085731.1	IncC	Gram-negative	IS26	12812	13591	14632	15451	aph(3')-Ia	1	1041
NZ_CP102491.1	IncR	Gram-negative	IS26	24775	25594	29308	30130	dfrA1	1	3714
NZ_CP122462.1	IncFIBK	Gram-negative	IS26	84638	85457	86498	87317	aph(3')-Ia	1	1041
NZ_CP122462.1	IncFIBK	Gram-negative	IS26	86498	87317	89504	90323	catB3,blaOXA-1,aac(6')-Ib-cr5	3	2187
NZ_CP122462.1	IncFIBK	Gram-negative	IS26	89504	90323	97850	98670	blaCTX-M-15,blaTEM-1	2	7527
NZ_CP122462.1	IncFIBK	Gram-negative	IS26	97850	98670	113666	114488	mph(A),mrx(A),sul1,aadA2,dfrA12	5	14996
NZ_CP128913.1	IncF	Gram-negative	IS26	72495	73314	75231	76051	blaTEM-1	1	1917
NZ_CP128913.1	IncF	Gram-negative	IS26	75231	76051	80437	81256	sul2,aph(3'')-Ib,aph(6)-Id	3	4386
NZ_CP134363.1	IncF	Gram-negative	IS26	5439	6260	21904	22725	qnrS1,blaLAP-2,tet(A)	3	15644
NZ_CP134363.1	IncF	Gram-negative	IS26	21904	22725	35164	35987	sul2,floR	2	12439
NZ_CP134378.1	IncI1	Gram-negative	IS26	15507	16327	18453	19275	blaCTX-M-8	1	2126
NZ_CP134378.1	IncI1	Gram-negative	IS26	36503	37322	46557	47377	dfrA12,aadA2,cmlA1,aadA1,sul3	5	9235
NZ_CP135644.1	IncF	Gram-negative	IS26	17269	18088	39594	40415	tet(B),dfrA17,aadA5,sul1	4	21506
NZ_CP135644.1	IncF	Gram-negative	IS26	39594	40415	46296	47116	mrx(A),mph(A)	2	5881
NZ_CP135644.1	IncF	Gram-negative	IS26	46296	47116	49033	49853	blaTEM-1	1	1917
NZ_CP135644.1	IncF	Gram-negative	IS26	49033	49853	54239	55058	sul2,aph(3'')-Ib,aph(6)-Id	3	4386
NZ_CP135657.1	IncF	Gram-negative	IS26	41325	42144	52110	52931	dfrA17,aadA5,sul1,mrx(A),mph(A)	5	9966
NZ_CP135657.1	IncF	Gram-negative	IS26	52110	52931	59588	60407	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4	6657
NZ_CP135657.1	IncF	Gram-negative	IS26	64292	65113	68109	68928	aac(3)-IId	1	2996
NZ_CP135692.1	IncF	Gram-negative	IS26	22751	23570	28868	29688	tet(A),aph(6)-Id,aph(3'')-Ib	3	5298
NZ_CP135692.1	IncF	Gram-negative	IS26	28868	29688	39654	40473	mph(A),mrx(A),sul1,aadA5,dfrA17	5	9966
NZ_CP135692.1	IncF	Gram-negative	IS26	63760	64581	67577	68396	aac(3)-IId	1	2996
NZ_CP135698.1	IncF	Gram-negative	IS26	41325	42144	52110	52931	dfrA17,aadA5,sul1,mrx(A),mph(A)	5	9966
NZ_CP135698.1	IncF	Gram-negative	IS26	52110	52931	59588	60407	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4	6657
NZ_CP135698.1	IncF	Gram-negative	IS26	64292	65113	68099	68918	aac(3)-IId	1	2986
NZ_CP135713.1	IncF	Gram-negative	IS26	17269	18088	39518	40339	tet(B),catA1	2	21430
NZ_CP135713.1	IncF	Gram-negative	IS26	39518	40339	51528	52347	mph(A),mrx(A),sul1,aadA5,dfrA17	5	11189
NZ_CP135713.1	IncF	Gram-negative	IS26	51528	52347	54264	55084	blaTEM-1	1	1917
NZ_CP135713.1	IncF	Gram-negative	IS26	54264	55084	59470	60289	sul2,aph(3'')-Ib,aph(6)-Id	3	4386
NZ_CP135713.1	IncF	Gram-negative	IS26	59470	60289	68656	69476	aac(3)-IId	1	8367
NZ_CP135720.1	IncF	Gram-negative	IS26	36216	37036	40971	41791	mrx(A),mph(A)	2	3935
NZ_CP135720.1	IncF	Gram-negative	IS26	40971	41791	46185	47006	aadA5,sul1	2	4394
NZ_CP135720.1	IncF	Gram-negative	IS26	46185	47006	55276	56095	aac(3)-IId	1	8270
NZ_CP135720.1	IncF	Gram-negative	IS26	55276	56095	57136	57955	aph(3')-Ia	1	1041
NZ_CP135720.1	IncF	Gram-negative	IS26	57136	57955	62341	63161	aph(6)-Id,aph(3'')-Ib,sul2	3	4386
NZ_CP135720.1	IncF	Gram-negative	IS26	62341	63161	65078	65899	blaTEM-1	1	1917
NZ_CP135720.1	IncF	Gram-negative	IS26	65078	65899	69014	69834	dfrA17	1	3115
NZ_CP135723.1	IncF	Gram-negative	IS26	15900	16719	26395	27214	dfrA24,sul1,cmlA6,aadA1,ant(2'')-Ia	5	9676
NZ_CP135723.1	IncF	Gram-negative	IS26	26395	27214	34825	35644	tet(M)	1	7611
NZ_KX711879.1	repPae_large	Pseudomonas	IS26	2525	3344	25815	26635	blaIMP-4	1	22471
NZ_MG825373.1	IncHI2	Gram-negative	IS26	38703	39527	43688	44509	mrx(A),mph(A)	2	4161
NZ_MG825373.1	IncHI2	Gram-negative	IS26	195374	196193	197234	198054	aph(3')-Ia	1	1041
NZ_MG825373.1	IncHI2	Gram-negative	IS26	197234	198054	229606	230425	sul3,aadA1,cmlA1,aadA2,estX-3,floR,sul2,aph(4)-Ia,aac(3)-IVa	9	31552
NZ_MG825373.1	IncHI2	Gram-negative	IS26	229606	230425	233802	234621	blaCTX-M-14,fosA3	2	3377
NZ_MG825373.1	IncHI2	Gram-negative	IS26	249391	250037	254914	255749	tet(M)	1	4877
